GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "09000","Connecticut",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",14692532,15673815,16514402,17804686,19393356,21157238,22725543,24536404,27032652,30080860,33813599,38493926,43242974,46701334,49958241,55880686,60000014,64553349,70443265,77668249,84248967,86889121,87815760,94269329,97347585,100108300,105642525,110746328,117991826,127327726,134415255,147054784,155243071,155347924,157679368,166262007,175470605,189750398,204090210,216865326,213612069,222225987,228929351,233337821,228470851,238999106,244982293,249580936,258079340,273152399
 "09000","Connecticut",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",3000000,3038782,3061448,3069617,3069140,3075784,3084726,3085984,3088729,3094839,3099907,3113174,3128837,3139014,3162355,3180014,3201131,3223741,3247290,3271954,3283404,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665
 "09000","Connecticut",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4898,5158,5394,5800,6319,6879,7367,7951,8752,9720,10908,12365,13821,14878,15798,17572,18743,20024,21693,23738,25659,26394,26588,28560,29417,30188,31780,33191,35228,37835,39693,43102,45223,44914,45254,47557,50035,53945,57861,61165,59973,62089,63804,64917,63554,66485,68288,69741,72213,76456
 "09001","Fairfield, CT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4595442,4860504,5101426,5483660,5883424,6352715,6814123,7449088,8289329,9308626,10522084,12114690,13778176,14892004,15790894,17748238,19125106,20490336,22322461,24980133,27114309,27933582,28246727,31689819,32629970,33471898,36425112,39005828,41990761,46637033,49621767,55098347,58979021,57904478,58066622,61640489,66817392,73925664,81892315,90512632,89508015,95360433,96584971,96932032,91391394,96901913,98685288,101302290,106392305,113853354
 "09001","Fairfield, CT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",780867,792934,792758,788034,786524,788324,794554,797444,810423,802642,802656,808703,813186,817943,821854,825107,830396,831797,828277,826605,827517,828860,833094,834372,838945,842482,848057,854421,861020,868651,877043,884364,889063,892900,896342,897472,897653,896254,897498,903824,910421,919330,927897,935097,939991,944355,945301,944802,943457,943823
 "09001","Fairfield, CT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5885,6130,6435,6959,7480,8059,8576,9341,10228,11597,13109,14980,16943,18207,19214,21510,23031,24634,26950,30220,32766,33701,33906,37980,38894,39730,42951,45652,48769,53689,56578,62303,66338,64850,64782,68682,74436,82483,91245,100144,98315,103728,104090,103660,97226,102612,104396,107221,112769,120630
 "09003","Hartford, CT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3920014,4192380,4352579,4641718,5071268,5559611,5975326,6364369,6953560,7728434,8708631,9887716,10978485,11857978,12662987,14050699,15050036,16331946,17800409,19474758,21215963,21898499,22025398,23027841,23575134,24041658,24710354,25543662,27024961,28840354,30167558,33010717,33657868,33890723,34717006,36842752,38578948,41331958,43522279,45018467,44571061,45735942,47844109,49197474,49631915,51663519,53277740,53910177,55306784,57894083
 "09003","Hartford, CT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",808574,818452,824080,821294,818956,818468,814177,810704,806380,805986,805516,808940,811862,812390,818501,821289,826385,834349,843149,853033,853017,852567,854316,851504,851008,849602,846135,846156,846001,849006,853039,858416,862573,867451,873335,874449,878081,881298,884548,887891,891667,895226,896776,897694,897724,897493,896358,894170,892931,892697
 "09003","Hartford, CT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4848,5122,5282,5652,6192,6793,7339,7850,8623,9589,10811,12223,13523,14596,15471,17108,18212,19574,21112,22830,24872,25685,25781,27044,27703,28298,29204,30188,31944,33970,35365,38455,39020,39069,39752,42133,43936,46899,49203,50703,49986,51089,53351,54804,55286,57564,59438,60291,61938,64853
 "09005","Litchfield, CT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",664571,700964,753182,830233,920089,1003094,1081524,1190065,1325707,1483095,1667001,1906153,2134039,2286947,2411418,2724534,2927733,3170732,3518713,3832735,4199980,4299828,4309144,4589992,4781279,4955292,5195249,5445061,5825253,6203156,6583538,7159184,7738433,7744228,7899255,8196072,8503221,9108786,9560673,9707499,9257078,9419462,9887711,10395653,10321912,10546241,10800960,10946081,11154561,11763030
 "09005","Litchfield, CT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",141990,144428,145079,145915,147138,146215,148701,150150,149083,153720,155612,157234,158753,159431,160714,161025,162394,165087,167512,169822,172755,174462,175469,176261,177147,177588,178258,179236,179770,180506,181328,182597,184118,185974,187424,188601,188912,189682,189866,190175,190015,189806,189002,187609,186886,185398,184133,182801,181710,181111
 "09005","Litchfield, CT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4680,4853,5192,5690,6253,6860,7273,7926,8892,9648,10713,12123,13443,14344,15004,16920,18029,19206,21006,22569,24312,24646,24558,26041,26990,27903,29145,30379,32404,34365,36307,39208,42030,41641,42146,43457,45012,48021,50355,51045,48718,49627,52315,55411,55231,56884,58658,59880,61387,64949
 "09007","Middlesex, CT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",509707,550668,586174,646144,720461,794813,866959,936965,1018867,1145349,1303646,1480505,1656510,1793506,1946451,2218860,2435600,2670760,2961931,3243445,3483299,3584966,3647985,3808547,3981978,4120758,4305278,4538782,4851094,5183110,5561541,6073928,6499086,6553664,6717364,7104179,7331947,7866099,8439461,8863391,8648055,8815223,9124819,9569259,9581532,10025460,10279885,10434552,10682952,11171794
 "09007","Middlesex, CT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",112020,115455,117094,119498,121975,124075,124892,125240,124713,126681,128363,129288,130091,130084,131028,133347,134191,135581,138446,140714,142431,143514,144146,144486,145617,146682,148119,148995,150377,151806,153340,155593,157006,159187,160864,161450,162191,163473,164129,164962,165607,165602,166176,165441,165156,164597,163555,163152,162855,162682
 "09007","Middlesex, CT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4550,4770,5006,5407,5907,6406,6942,7481,8170,9041,10156,11451,12733,13787,14855,16640,18150,19699,21394,23050,24456,24980,25308,26359,27346,28093,29066,30463,32260,34143,36269,39037,41394,41170,41758,44002,45206,48119,51420,53730,52220,53231,54911,57841,58015,60909,62853,63956,65598,68673
 "09009","New Haven, CT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3353210,3590216,3810156,4112415,4482966,4889082,5244296,5615847,6151807,6799915,7571868,8484836,9468123,10143334,10920825,12214612,13068809,14067275,15334181,16920792,18240437,18766936,18977915,19968736,20740836,21360761,22321221,23026714,24263555,25623809,26941121,29176730,30663947,31082115,31482775,32635438,33819514,36003724,37885017,38955001,37945275,38786438,40413121,41576477,41924597,43396753,44577449,45148233,45981789,48583905
 "09009","New Haven, CT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",747063,747435,757031,758131,756777,759277,759648,758263,757917,757121,760219,762066,763373,764877,770970,776264,783092,789528,796486,801339,804000,805366,807490,808659,808977,809178,809157,811000,813505,817313,820396,824911,829875,835099,841939,844505,847162,850207,853598,856622,860025,863382,863827,864589,862889,862996,860292,857991,857794,857620
 "09009","New Haven, CT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4489,4803,5033,5424,5924,6439,6904,7406,8117,8981,9960,11134,12403,13261,14165,15735,16689,17817,19252,21116,22687,23302,23502,24694,25638,26398,27586,28393,29826,31351,32839,35370,36950,37220,37393,38644,39921,42347,44383,45475,44121,44924,46784,48088,48586,50286,51817,52621,53605,56650
 "09011","New London, CT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",920609,1008957,1089406,1198510,1323721,1476722,1577780,1709395,1896632,2049957,2260639,2566067,2926267,3212936,3530809,3922341,4157101,4304251,4655438,4944654,5375950,5597212,5689125,6036794,6266538,6585322,6881678,7127062,7571275,8010000,8359258,8837995,9235037,9558155,9996434,10694906,11014231,11531739,12166893,12647402,12571719,12716139,13225442,13546583,13505962,13899057,14480124,14721174,15144163,15810805
 "09011","New London, CT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",225553,231405,233975,238857,238138,238362,241627,241968,241265,242732,240812,239228,241985,243051,246802,248990,248201,248765,250549,252893,253805,255474,255761,252306,253886,255618,257828,258741,258662,256626,257568,259848,261396,264698,266584,268595,269664,270814,270669,272634,273630,273998,273013,274085,272981,271465,269717,268612,267826,266784
 "09011","New London, CT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4082,4360,4656,5018,5559,6195,6530,7065,7861,8445,9388,10726,12093,13219,14306,15753,16749,17302,18581,19552,21181,21909,22244,23926,24682,25762,26691,27545,29271,31213,32455,34012,35330,36110,37498,39818,40844,42582,44951,46390,45944,46410,48443,49425,49476,51200,53686,54805,56545,59264
 "09013","Tolland, CT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",405725,428116,456782,495168,551462,607687,658514,713042,782344,887933,1027979,1196272,1325713,1438042,1546860,1720711,1862813,2039289,2261250,2516336,2719522,2829742,2905358,3004233,3142081,3241375,3394257,3567136,3810211,4084957,4326453,4651563,5078983,5150478,5241922,5464591,5604166,5973267,6434762,6796682,6774681,6922208,7228127,7415395,7406018,7734120,7903896,8042303,8179508,8544286
 "09013","Tolland, CT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",100439,103855,105536,110148,110780,112066,111637,111836,110067,114177,114452,115230,116609,117646,118572,119632,121019,122418,124835,127436,127859,128966,129017,129093,129009,129665,130277,131245,132614,133541,134939,136863,138934,142362,145195,146706,147657,148954,149718,151583,152330,153236,153027,151963,151783,151710,151685,151094,150933,150921
 "09013","Tolland, CT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4040,4122,4328,4495,4978,5423,5899,6376,7108,7777,8982,10382,11369,12223,13046,14383,15393,16658,18114,19746,21270,21942,22519,23272,24356,24998,26054,27179,28732,30590,32062,33987,36557,36179,36103,37249,37954,40101,42979,44838,44474,45174,47234,48797,48793,50980,52107,53227,54193,56614
 "09015","Windham, CT",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",323254,342010,364697,396838,439965,473514,507021,557633,614406,677551,751751,857687,975661,1076587,1147997,1280691,1372816,1478760,1588882,1755396,1899507,1978356,2014108,2143367,2229769,2331236,2409376,2492083,2654716,2745307,2854019,3046320,3390696,3464083,3557990,3683580,3801186,4009161,4188810,4364252,4336185,4470142,4621051,4704948,4707521,4832043,4976951,5076126,5237278,5531142
 "09015","Windham, CT",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",83494,84818,85895,87740,88852,88997,89490,90379,88881,91780,92277,92485,92978,93592,93914,94360,95453,96216,98036,100112,102020,102758,103602,104031,104586,105306,106313,106891,107399,107903,108748,109185,109870,111078,112653,114316,115636,116778,117244,117888,118112,118545,118305,117917,117505,116769,116468,116052,116374,117027
 "09015","Windham, CT",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3872,4032,4246,4523,4952,5321,5666,6170,6913,7382,8147,9274,10493,11503,12224,13572,14382,15369,16207,17534,18619,19253,19441,20603,21320,22138,22663,23314,24718,25442,26244,27901,30861,31186,31584,32223,32872,34331,35727,37020,36712,37708,39060,39901,40062,41381,42732,43740,45004,47264
"Note: See the included footnote file."
"Last updated: November 14, 2019-- new statistics for 2018; revised statistics for 1969-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
