GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "12000","Florida",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",25004933,28276202,31756352,36549964,42578343,47883133,52167930,57012352,63844262,73633283,84660155,99826771,115731189,125053376,138093067,153887607,168327413,182124030,197185189,216604769,241142909,257571430,268375219,284265992,301392581,317674941,341583501,363906819,385401971,415875478,436186130,472238563,496337210,512812468,539102793,586784963,642506724,698475979,727404686,727138521,682891651,725074023,764633664,793428830,795424889,856161682,915895494,942461242,1004144269,1066446916
 "12000","Florida",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325
 "12000","Florida",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3765,4131,4433,4860,5371,5757,6107,6557,7182,8064,8939,10145,11354,11942,12846,13939,14829,15610,16436,17601,19081,19763,20073,20825,21641,22310,23496,24500,25378,26854,27678,29428,30344,30727,31704,33694,36011,38448,39602,39247,36611,38474,40047,41055,40659,43109,45287,45684,47869,50070
 "12001","Alachua, FL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",300282,346661,398131,473571,557119,627768,700396,760890,836646,956871,1077953,1245651,1421220,1565113,1737466,1961864,2168325,2321172,2498570,2724906,3008312,3217618,3385168,3576362,3785902,3973353,4236195,4425419,4673546,4958982,5158170,5487497,5811606,5996886,6225845,6914441,7474937,8034030,8441731,8732771,8432728,8814693,9184786,9233122,9317222,9871944,10354251,10732292,11327807,11983398
 "12001","Alachua, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",100980,105140,108877,119784,125910,131232,132638,132788,137370,142724,146021,152223,155355,159113,161884,165452,169515,171732,174529,176874,179549,182723,188259,193494,197336,198919,203700,206601,210096,212707,215847,218611,221718,224614,227022,229867,233756,239506,242685,244888,246657,247613,249806,251513,252498,255499,259177,264287,266820,269956
 "12001","Alachua, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2974,3297,3657,3954,4425,4784,5281,5730,6090,6704,7382,8183,9148,9836,10733,11858,12791,13516,14316,15406,16755,17609,17981,18483,19185,19975,20796,21420,22245,23314,23897,25102,26212,26699,27424,30080,31978,33544,34785,35660,34188,35599,36768,36710,36900,38638,39951,40608,42455,44390
 "12003","Baker, FL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",24148,26727,30207,36134,43229,48216,55759,61915,68916,79074,89069,101218,114580,132073,144240,162740,173230,186622,201194,219955,236220,255001,265554,279192,294506,308591,326886,347695,369651,389581,420737,448855,480037,504382,538225,574920,603936,641349,679482,689700,673052,694502,713550,719218,716900,749361,791801,825366,877281,916242
 "12003","Baker, FL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",9064,9304,9745,10544,11242,12367,12934,13250,14066,14569,15059,15389,15765,15985,16325,16400,16573,16959,17232,17618,18182,18594,19262,19567,19924,20034,20482,20965,21294,21232,21575,22374,22620,23298,23555,24142,24832,25571,26212,26725,27124,27062,27043,27047,27001,27118,27351,27872,28230,28355
 "12003","Baker, FL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2664,2873,3100,3427,3845,3899,4311,4673,4899,5428,5915,6577,7268,8262,8836,9923,10453,11004,11676,12485,12992,13714,13786,14269,14781,15403,15960,16585,17359,18349,19501,20061,21222,21649,22850,23814,24321,25081,25923,25807,24814,25663,26386,26591,26551,27633,28950,29613,31076,32313
 "12005","Bay, FL",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",228539,266684,296150,328489,375372,428739,480586,541800,588134,676419,745715,855685,980853,1077257,1182285,1337512,1462309,1580916,1655515,1795461,1943037,2110886,2272260,2426372,2595262,2696586,2922448,3077315,3230551,3391128,3509004,3656932,4013965,4239096,4545431,4892682,5316165,5709594,5903964,6098241,5926626,6221309,6395043,6436815,6524419,6916001,7328758,7522232,7637747,8010201
