GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "15000","Hawaii",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3643173,4224922,4584077,5047834,5592618,6360651,6919030,7465926,8084039,8953923,10042788,11483936,12434061,13166230,14443315,15472574,16452513,17458138,18618700,20477516,22873584,24979076,26432925,28434498,29476498,30163706,30864018,30894933,31907547,32531130,33657545,35682033,37204033,38954769,40791025,43977375,47306326,50701090,53423078,56059909,55690031,57179141,60044624,62455917,63316600,66846123,70384467,72878649,75689488,78721133
 "15000","Hawaii",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491
 "15000","Hawaii",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4903,5538,5791,6170,6643,7412,7907,8367,8828,9640,10571,11867,12711,13249,14262,15052,15824,16599,17435,18964,20897,22433,23253,24542,25133,25400,25788,25665,26334,26769,27809,29404,30347,31425,32603,34531,36594,38711,40605,42080,41352,41921,43534,44774,44955,47246,49480,51032,53145,55418
 "15001","Hawaii, HI",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",227320,269351,302967,334447,371781,509292,507077,533210,586924,652918,743795,935944,947621,998720,1121382,1171178,1229162,1339117,1427334,1570925,1817564,2026536,2201619,2334976,2462395,2557164,2636585,2698938,2777341,2934325,3081127,3326966,3510902,3725896,3942552,4379204,4848840,5227476,5570974,5903907,5675130,5869367,6142665,6369930,6445702,6866362,7403169,7727884,8156188,8531484
 "15001","Hawaii, HI",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",63104,63549,73508,69922,72856,73891,77212,80481,82610,85661,89069,92897,96122,98798,100764,103528,105900,108362,111735,113439,116585,121572,127266,131630,135085,137713,140492,141935,144445,145833,146970,149244,151690,154576,158442,162852,168237,173536,177733,181506,183629,185358,187066,189164,191466,193736,195941,198126,199503,200983
 "15001","Hawaii, HI",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3602,4238,4122,4783,5103,6892,6567,6625,7105,7622,8351,10075,9859,10109,11129,11313,11607,12358,12774,13848,15590,16669,17299,17739,18228,18569,18767,19015,19228,20121,20964,22292,23145,24104,24883,26891,28821,30123,31345,32527,30905,31665,32837,33674,33665,35442,37783,39005,40883,42449
 "15003","Honolulu, HI",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3132729,3634964,3926337,4327655,4791314,5274604,5821193,6281530,6771327,7496119,8372875,9422314,10313480,10892215,11852319,12755379,13549475,14298161,15228178,16651964,18429324,20038505,21105032,22665937,23390411,23857762,24342583,24282200,25101536,25412931,26113634,27571297,28626089,29894595,31170188,33368413,35728717,38249805,40176577,42118992,42371822,43397685,45532320,47177994,47857319,50358033,52747310,54459502,56274893,58420993
 "15003","Honolulu, HI",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",603438,623756,633043,664830,683772,698033,707866,716911,734962,740505,753428,763820,767573,776075,789097,797791,804294,810444,818447,824072,831337,838534,850510,863959,870348,878591,881399,883443,886711,886909,878906,876629,882755,890473,894311,907997,918181,926954,925335,933680,943177,956296,967287,978073,986222,987649,991339,992692,986429,980080
 "15003","Honolulu, HI",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5191,5828,6202,6509,7007,7556,8224,8762,9213,10123,11113,12336,13436,14035,15020,15988,16846,17642,18606,20207,22168,23897,24815,26235,26875,27155,27618,27486,28309,28653,29712,31452,32428,33572,34854,36749,38912,41264,43418,45111,44925,45381,47072,48236,48526,50988,53208,54860,57049,59608
 "15007","Kauai, HI",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",111803,121099,134673,143594,160982,219312,211201,228065,250537,275338,314039,392170,403261,437234,490006,507186,546508,592559,633315,754188,878673,960349,1045652,1130647,1182522,1209634,1264820,1261158,1284089,1312259,1367324,1469363,1535779,1597358,1702671,1888102,2024507,2159942,2302505,2412045,2322396,2375385,2492278,2599394,2700471,2890458,3072470,3202096,3379704,3564549
