GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "19000","Iowa",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",10374042,11094958,11641612,13040147,15654782,16224999,18133702,19280266,21275256,24537218,26298368,27993694,31680973,32544391,33149477,36944129,38216260,39480301,41377402,42759779,46555049,49023054,50144695,53791872,54052557,58946166,61328566,66840910,69956071,73327397,75330884,80442425,82725055,84646820,86451977,93511289,96563579,102580079,109889642,116255764,112627998,116247364,125560515,131984153,134463478,139303372,144287791,145411305,149191200,158197241
 "19000","Iowa",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",2805000,2828534,2851828,2860506,2864031,2867941,2881425,2903770,2914308,2919008,2916803,2914018,2907985,2888190,2870547,2858615,2829684,2791969,2767006,2768393,2770590,2781018,2797613,2818401,2836972,2850746,2867373,2880000,2891119,2902872,2917634,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050767,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145
 "19000","Iowa",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3698,3923,4082,4559,5466,5657,6293,6640,7300,8406,9016,9607,10894,11268,11548,12924,13505,14141,14954,15446,16803,17628,17924,19086,19053,20677,21388,23209,24197,25260,25819,27463,28215,28848,29385,31660,32574,34392,36640,38537,37136,38104,40952,42906,43472,44799,46224,46431,47458,50124
 "19001","Adair, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",30762,33210,33894,40324,54485,47937,53433,61234,58593,75919,74759,71279,88273,88710,83492,99037,105609,116050,115467,114826,131641,136017,132384,146290,134502,156702,145611,174613,176744,185247,191102,212406,213677,220175,217069,249002,229972,238261,253661,290534,272441,270578,308911,314351,336545,334362,339241,333864,338235,367196
 "19001","Adair, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",9236,9437,9276,9460,9563,9311,9298,9332,9369,9432,9545,9490,9396,9258,9210,9147,8935,8700,8550,8509,8431,8397,8430,8441,8483,8380,8366,8363,8310,8305,8298,8223,8132,8059,8050,8019,7932,7924,7871,7747,7676,7679,7546,7468,7387,7367,7141,6998,7053,7063
 "19001","Adair, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3331,3519,3654,4263,5697,5148,5747,6562,6254,8049,7832,7511,9395,9582,9065,10827,11820,13339,13505,13495,15614,16198,15704,17331,15855,18700,17405,20879,21269,22305,23030,25831,26276,27320,26965,31052,28993,30068,32227,37503,35493,35236,40937,42093,45559,45386,47506,47708,47956,51989
 "19003","Adams, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19855,21473,22157,24892,35259,28764,33799,39613,35670,44403,44498,43210,53008,55112,52357,55583,60978,67239,69514,63405,72136,73505,73615,78689,71737,84786,77390,98179,97930,101828,105034,120584,114871,119546,114009,135268,124704,117867,129364,153424,147920,149723,191707,190440,224192,247440,264321,238428,221337,241734
 "19003","Adams, IA",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",6122,6309,6280,6280,6078,5975,5919,5821,5912,5938,5847,5713,5631,5556,5494,5423,5307,5199,5217,5095,4987,4845,4748,4687,4634,4616,4578,4534,4503,4493,4498,4476,4402,4370,4365,4307,4226,4224,4195,4151,4047,4023,3994,3909,3892,3877,3753,3692,3663,3645
 "19003","Adams, IA",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3243,3404,3528,3964,5801,4814,5710,6805,6033,7478,7610,7563,9414,9919,9530,10249,11490,12933,13325,12445,14465,15171,15504,16789,15481,18368,16905,21654,21748,22664,23351,26940,26095,27356,26119,31407,29509,27904,30838,36961,36551,37217,47999,48718,57603,63823,70429,64580,60425,66319
 "19005","Allamakee, IA",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",45763,49126,50926,56484,71175,70859,82470,98980,100868,111602,110896,108788,129033,132685,129046,163155,163334,173249,183516,179854,201160,211065,207323,227143,224322,243699,252155,280645,289548,307704,311337,331837,341154,349646,356611,383702,399184,416080,437465,458799,446287,492181,538311,549100,576703,589999,609636,598486,600694,632739
