GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "18000","Indiana",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19238335,20028723,21793740,23846523,27368399,29274320,31607533,35131556,38900918,43398431,47805688,51418727,56406955,58429262,61276454,68009268,71812804,75637237,80257463,85926055,93580934,98748774,101775143,110147929,116112382,123384197,129005550,136363455,143496312,154850859,161356529,171989680,175850809,178418208,182652272,191298252,197696750,209427494,216814316,226332660,220274848,230109228,245346443,257149486,260424741,270986098,281691638,290147840,301203033,315516001
 "18000","Indiana",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",5143000,5203700,5249921,5296129,5329122,5349886,5351080,5371552,5405075,5446403,5474909,5490721,5480440,5467918,5450396,5458322,5459214,5454103,5473023,5491733,5523679,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490436,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878
 "18000","Indiana",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3741,3849,4151,4503,5136,5472,5907,6540,7197,7968,8732,9365,10292,10686,11243,12460,13154,13868,14664,15646,16942,17768,18121,19411,20232,21297,22047,23089,24096,25813,26693,28233,28697,28983,29476,30691,31487,33071,33986,35228,34102,35454,37653,39334,39648,41099,42627,43741,45225,47149
 "18001","Adams, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",92078,99978,108534,121333,147919,149019,152805,176386,194394,217533,235740,240334,267899,284537,301410,352014,365782,392533,419080,451541,481880,494145,494027,518807,554071,593417,605777,638072,690323,728700,757182,807469,833093,831384,864109,917344,906513,939180,956530,980239,926557,971253,1073002,1162574,1190051,1232492,1213484,1256102,1314842,1395770
 "18001","Adams, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",26689,26889,27176,27150,27966,28005,28226,28436,29020,29320,29647,29654,29729,29759,29884,30116,30281,30427,30836,31191,31053,31160,31385,31545,31758,32204,32565,32866,32972,33346,33544,33597,33556,33523,33746,33822,33867,33887,33962,34214,34351,34451,34374,34408,34654,34768,34958,35192,35422,35636
 "18001","Adams, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3450,3718,3994,4469,5289,5321,5414,6203,6699,7419,7952,8105,9011,9561,10086,11689,12080,12901,13591,14477,15518,15858,15741,16447,17447,18427,18602,19414,20937,21853,22573,24034,24827,24800,25606,27123,26767,27715,28165,28650,26973,28192,31216,33788,34341,35449,34713,35693,37119,39167
 "18003","Allen, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1099839,1164105,1259456,1392461,1553427,1698096,1775233,1985256,2238983,2506584,2787591,2965893,3239163,3303604,3423113,3793661,4113591,4501634,4833603,5310007,5784813,6042857,6090633,6620483,6860372,7263856,7687817,8050001,8426356,9125597,9506692,9997302,9948462,10169470,10121350,10542677,10914716,11765107,12220827,12434110,11890961,12307020,13158974,13884521,13923405,14780039,15595594,15980208,16445153,17374174
 "18003","Allen, IN",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",274948,281297,284941,287484,288529,289687,288951,287950,288762,292275,294194,293834,291174,288893,286852,286409,289455,293544,298230,299649,300658,301659,304430,307128,309985,312277,314778,318087,321527,325489,328699,332786,334956,337124,339569,340916,343238,346314,349534,351264,353693,355939,358919,360883,363384,365199,367543,369778,372210,375351
 "18003","Allen, IN",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4000,4138,4420,4844,5384,5862,6144,6894,7754,8576,9475,10094,11124,11435,11933,13246,14212,15335,16208,17721,19241,20032,20007,21556,22131,23261,24423,25308,26207,28037,28922,30041,29701,30165,29806,30925,31799,33972,34963,35398,33619,34576,36663,38474,38316,40471,42432,43216,44182,46288
 "18005","Bartholomew, IN",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",224503,238843,261594,285134,332282,373571,380739,437420,495850,550984,608115,623160,703651,712995,759805,917429,932749,923800,1019865,1078724,1150473,1204019,1223379,1359185,1472526,1570771,1696662,1771766,1861557,2025619,2102513,2244428,2160228,2200875,2281335,2396955,2453889,2657576,2743430,2898521,2747361,2893676,3137391,3412769,3394093,3605589,3744617,3803259,3955556,4131157
