GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "21000","Kentucky",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",9711706,10534849,11466051,12679771,14252540,16052187,17479191,19544359,21933925,24444005,27454717,29871559,33237716,35402015,36755022,41061960,42815517,44018975,46497318,50573350,54363695,57673405,60843249,65547256,68128162,71608306,75054417,79620527,84542128,89546055,93441261,100796524,104181538,106570480,109617274,116046681,121757828,128867426,134575805,140523387,138823398,144103330,151299853,156827596,158218366,165914634,173025584,175920513,182604638,189717403
 "21000","Kentucky",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4348200,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402
 "21000","Kentucky",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3037,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8152,9056,9611,9949,11111,11588,11936,12624,13743,14784,15613,16345,17407,17871,18604,19307,20314,21388,22469,23255,24894,25609,26057,26624,27989,29110,30543,31615,32757,32157,33141,34626,35753,35919,37584,39093,39638,40999,42458
 "21001","Adair, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",27842,29876,34180,38349,43361,48545,49938,56744,63059,70530,80204,89275,101397,110966,113664,132808,138310,141849,147074,159427,172853,187456,199132,219726,226496,236223,243961,263226,273605,272523,277747,311393,321574,321239,323740,344216,361901,376810,399475,420241,437278,460998,486499,502944,514543,538816,553539,556397,581515,601193
 "21001","Adair, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13176,13125,13611,14345,14415,14583,14696,14794,15079,15039,15135,15273,15397,15438,15296,15761,15613,15560,15220,15410,15320,15387,15553,15766,16009,16233,16564,16782,16895,16942,17054,17327,17584,17762,17924,17994,18128,18335,18493,18541,18729,18761,18991,18937,19126,19265,19168,19264,19294,19215
 "21001","Adair, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2113,2276,2511,2673,3008,3329,3398,3836,4182,4690,5299,5845,6586,7188,7431,8426,8859,9116,9663,10346,11283,12183,12803,13937,14148,14552,14728,15685,16194,16086,16286,17972,18288,18086,18062,19129,19964,20551,21601,22665,23348,24572,25617,26559,26903,27969,28878,28883,30140,31288
 "21003","Allen, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",28618,31583,35443,39768,46047,47876,52903,61361,69578,80897,90721,98149,111557,115608,116946,136703,142406,136876,141475,151348,160058,166058,179494,195949,215204,239709,253381,272017,296355,320583,338690,371331,371340,365865,369407,400570,420992,444910,465010,487515,481906,493070,519560,551356,545720,586448,621754,632670,667400,689479
 "21003","Allen, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12562,12634,12919,12960,13148,13458,13699,13581,13634,13686,13794,14116,14034,13917,14025,14319,14337,14264,14234,14199,14377,14723,14803,15090,15374,15754,16091,16375,16768,17243,17658,17820,17947,18219,18434,18699,18910,19272,19540,19838,19811,20048,20190,20250,20333,20510,20678,20738,20921,21122
 "21003","Allen, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2278,2500,2743,3069,3502,3557,3862,4518,5103,5911,6577,6953,7949,8307,8338,9547,9933,9596,9939,10659,11133,11279,12126,12985,13998,15216,15747,16612,17674,18592,19181,20838,20691,20082,20039,21422,22263,23086,23798,24575,24325,24594,25734,27227,26839,28593,30068,30508,31901,32643
 "21005","Anderson, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29920,31356,35710,40608,45538,51657,54433,61146,70422,79314,89932,102230,115819,128823,137002,153515,160309,169396,182688,197200,217464,232752,244224,270729,285875,308965,333368,357374,388396,418927,438868,473967,494647,504265,514107,541152,576133,610056,649851,673033,663053,691318,718898,742531,760853,785792,810685,838277,865841,891137
 "21005","Anderson, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",9285,9483,9991,10165,10230,10493,10758,11043,11408,11622,11892,12631,12857,12850,12901,13179,13436,13559,13733,13972,14221,14672,15121,15607,16198,16769,17191,17764,18092,18553,18864,19151,19382,19315,19504,19714,19987,20519,20999,21088,21328,21457,21551,21686,21737,21853,21891,22146,22518,22663
 "21005","Anderson, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3222,3307,3574,3995,4451,4923,5060,5537,6173,6824,7562,8094,9008,10025,10619,11648,11931,12493,13303,14114,15292,15864,16151,17347,17649,18425,19392,20118,21468,22580,23265,24749,25521,26107,26359,27450,28825,29731,30947,31915,31088,32219,33358,34240,35003,35958,37033,37852,38451,39321
 "21007","Ballard, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",24614,28453,31304,32628,36253,39565,42786,46223,54927,61388,71707,70032,82396,83701,79015,96573,94748,97341,99449,105696,122817,125738,124155,137327,139306,148683,154519,180263,188372,189207,193528,210552,210465,199540,207757,218502,231002,226715,239399,252683,258772,253601,278416,275794,304274,295239,291515,286192,297653,302719
 "21007","Ballard, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8274,8378,8744,8746,8424,8280,8283,8460,8535,8749,8706,8765,8612,8490,8458,8375,8445,8280,8229,8044,7963,7883,7904,7861,7871,7925,8053,8084,8187,8246,8225,8304,8225,8164,8254,8242,8269,8204,8190,8265,8204,8260,8269,8287,8254,8189,8216,8045,8021,7979
 "21007","Ballard, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2975,3396,3580,3731,4304,4778,5166,5464,6436,7017,8237,7990,9568,9859,9342,11531,11219,11756,12085,13140,15423,15951,15708,17469,17699,18761,19188,22299,23009,22945,23529,25355,25588,24441,25170,26511,27936,27635,29231,30573,31542,30702,33670,33280,36864,36053,35481,35574,37109,37939
 "21009","Barren, KY",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",72808,77939,85089,98733,111020,125980,133058,153357,169542,190716,212025,232369,265923,285435,298496,347134,358021,371486,393464,417322,458258,460735,491078,536851,568627,614600,643082,675557,736739,783627,793723,851589,911790,938329,943073,1017911,1041497,1072031,1128821,1185697,1145026,1203197,1276561,1353759,1360218,1450455,1524182,1507163,1561735,1618294
 "21009","Barren, KY",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",28627,28831,29833,30066,30810,31342,31934,32325,32984,33303,33821,34029,34024,34630,34681,34600,34204,34283,34181,33991,33823,34094,34334,34506,34968,35203,35912,36446,36914,37237,37687,38128,38517,38704,39164,39601,40320,40857,41435,41797,42171,42123,42329,42620,42952,43048,43566,43794,43815,44176
 "21009","Barren, KY",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2543,2703,2852,3284,3603,4020,4167,4744,5140,5727,6269,6829,7816,8242,8607,10033,10467,10836,11511,12277,13549,13514,14303,15558,16261,17459,17907,18536,19958,21044,21061,22335,23672,24244,24080,25704,25831,26239,27243,28368,27152,28564,30158,31763,31668,33694,34986,34415,35644,36633
