GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "22000","Louisiana",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",10765877,11663035,12715230,13912080,15528477,17651808,19875142,22415528,25031404,28630805,32478004,37368848,43084374,46379689,48422536,51504460,53629661,53695136,53932056,56881207,60326085,64880918,68408285,73263960,76872654,81905818,85953266,89776927,94400601,98943993,101397141,107072494,114459006,117698461,121131961,126295608,135921323,143643335,157374298,168069987,163751636,171098211,177105109,186589357,189197094,198233896,200748457,199879233,205227413,215488654
 "22000","Louisiana",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3619000,3650209,3710666,3761967,3788840,3820720,3886963,3951636,4015582,4073288,4139316,4223101,4283297,4352609,4395311,4400474,4408113,4406922,4344151,4288859,4252896,4221532,4253279,4293003,4316428,4347481,4378779,4398877,4421071,4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544532,4575184,4600814,4624577,4644204,4664851,4678215,4670818,4659978
 "22000","Louisiana",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2975,3195,3427,3698,4098,4620,5113,5672,6234,7029,7846,8849,10059,10656,11017,11704,12166,12184,12415,13263,14185,15369,16084,17066,17809,18840,19630,20409,21352,22283,22731,23943,25561,26171,26793,27744,29699,33385,35966,37891,36457,37649,38710,40556,40911,42684,43034,42726,43938,46242
 "22001","Acadia, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",113761,124885,134386,149067,183561,208404,233919,237840,269294,298090,347196,404581,478639,549418,558364,576144,602677,574007,545626,593172,616791,662573,704698,738680,797031,847761,897836,937224,1015974,1088526,1082685,1154780,1237784,1274203,1318710,1337677,1438296,1567311,1690878,1925016,1917444,1958987,2036850,2141340,2264583,2341246,2244884,2149792,2218075,2319912
 "22001","Acadia, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",51852,52167,52506,52621,52760,52688,53131,53770,53809,54374,55402,56631,57345,58557,59133,58754,59018,59176,58328,57342,56783,55741,56237,56357,56885,56992,57473,58064,58218,58501,58762,58795,58844,59065,59194,59223,59524,60522,60762,61115,61451,61875,61853,61991,62294,62664,62681,62793,62514,62190
 "22001","Acadia, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2194,2394,2559,2833,3479,3955,4403,4423,5005,5482,6267,7144,8347,9383,9443,9806,10212,9700,9354,10344,10862,11887,12531,13107,14011,14875,15622,16141,17451,18607,18425,19641,21035,21573,22278,22587,24163,25897,27828,31498,31203,31660,32930,34543,36353,37362,35814,34236,35481,37304
 "22003","Allen, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",45712,50438,57418,60048,72030,76180,80007,86585,97003,107679,124350,135747,150315,154024,162733,168336,176461,177902,177927,189710,201244,215450,234278,249754,269491,287378,333420,345762,362883,382848,406459,425203,436782,453273,475267,502329,535467,566889,601488,664706,696433,685322,697287,716638,733323,747040,758654,783968,813889,854719
 "22003","Allen, LA",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",20681,20811,21006,21103,20768,20560,20662,20748,20918,21039,21160,21391,21288,21709,21710,21514,21577,21659,22592,21174,21384,21232,21968,22822,23510,23792,24246,24687,24605,25114,25364,25401,25399,25194,25327,25338,25076,25692,25937,25854,25863,25718,25755,25638,25683,25729,25645,25693,25631,25605
 "22003","Allen, LA",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2210,2424,2733,2845,3468,3705,3872,4173,4637,5118,5877,6346,7061,7095,7496,7824,8178,8214,7876,8960,9411,10147,10665,10944,11463,12079,13752,14006,14748,15244,16025,16740,17197,17991,18765,19825,21354,22065,23190,25710,26928,26648,27074,27952,28553,29035,29583,30513,31754,33381
 "22005","Ascension, LA",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",100478,106121,115595,128996,143992,178190,205697,265280,284699,326695,379580,438886,498584,531616,574928,624067,656367,651487,663730,736889,795468,880643,945416,1058111,1124341,1218687,1314053,1405687,1498343,1619287,1730514,1874905,1944877,2046404,2148777,2355532,2759162,3209962,3597644,4015554,4071312,4285109,4525953,4782753,4952730,5274532,5577941,5673180,5880525,6212332
