GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "24000","Maryland",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",17235920,19167231,21125827,23176397,25560539,27902797,30204127,32906940,35675755,39617165,43545511,48503268,54043012,58610648,62787390,69664857,75502898,81544532,88007606,96739717,104600690,110894044,114898652,120637356,125486122,131410405,137245369,143742306,151791457,163867976,174048020,189505372,199706821,207659132,217235001,232208363,245174207,258473493,269020895,280998145,279384184,289469915,306179571,315230873,314266477,325835823,342074347,354450645,364575802,382828860
 "24000","Maryland",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788642,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718
 "24000","Maryland",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4456,4867,5252,5679,6221,6751,7265,7887,8505,9407,10311,11473,12680,13685,14557,15959,17109,18174,19276,20769,22127,23104,23605,24503,25239,26161,27070,28119,29432,31486,33124,35681,37157,38170,39524,41862,43841,45932,47586,49428,48755,50007,52437,53546,53052,54687,57139,59029,60512,63354
 "24001","Allegany, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",264663,290136,311478,334500,363799,395750,426402,454997,500039,543032,596718,657336,713712,760948,800021,845335,883933,898034,961109,1019869,1095215,1153951,1189230,1218191,1250928,1293868,1335153,1378165,1433309,1475332,1521417,1596902,1916894,2007359,2102775,2175434,2101765,2045184,2074941,2233858,2306560,2398887,2479759,2509845,2538578,2614103,2677114,2745608,2766459,2875729
 "24001","Allegany, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",84207,83983,84154,84829,84012,84109,82761,81938,81443,80769,81099,80584,80567,79651,78764,77474,76311,75922,75466,75428,75193,74954,75305,75411,75296,75203,75427,75132,75310,75547,75288,74804,74525,74204,74076,74408,73979,73980,74449,74638,75101,74966,74562,73936,73566,73007,72462,72055,71386,70975
 "24001","Allegany, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3143,3455,3701,3943,4330,4705,5152,5553,6140,6723,7358,8157,8859,9554,10157,10911,11583,11828,12736,13521,14565,15395,15792,16154,16613,17205,17701,18343,19032,19529,20208,21348,25721,27052,28387,29237,28410,27645,27871,29929,30713,32000,33258,33946,34507,35806,36945,38104,38754,40517
 "24003","Anne Arundel, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1259430,1387474,1551123,1720822,1954573,2179494,2412730,2686278,2995442,3430582,3876431,4448529,4919480,5337113,5742711,6369352,6894696,7470483,7928390,8701356,9417850,9959435,10368280,11047606,11669141,12332759,13042755,13819775,14729207,16017605,17127967,18895513,20199364,21098637,22119554,23501078,24673103,26100019,27136400,27952098,27643648,28572128,30407771,31467873,31825911,33134966,34678405,35687108,36878491,38803403
 "24003","Anne Arundel, MD",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",291264,299825,309046,316608,330647,334752,345613,353988,361062,365603,368971,372415,378219,382453,385375,389989,396028,403532,412139,418047,423564,428877,434344,440836,448583,456499,463022,467286,472356,477749,484800,491670,498559,504884,507769,513259,516171,517698,520503,525304,532395,539277,544744,550311,555438,559691,563502,567665,571592,576031
 "24003","Anne Arundel, MD",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4324,4628,5019,5435,5911,6511,6981,7589,8296,9383,10506,11945,13007,13955,14902,16332,17410,18513,19237,20814,22235,23222,23871,25061,26013,27016,28169,29575,31182,33527,35330,38431,40515,41789,43562,45788,47800,50416,52135,53211,51923,52982,55820,57182,57299,59202,61541,62866,64519,67363
 "24005","Baltimore, MD",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2838360,3121620,3437142,3817948,4244283,4756269,5099588,5527427,6001064,6644741,7229433,7986532,8964319,9583533,10160748,11165055,11992948,12735475,13638813,14911598,15791988,16773933,17251575,17978291,18375350,19244852,20525669,21470401,22951615,24680807,26123040,28137245,29603054,30550905,31481009,33265405,34862596,37078996,38832624,39859084,38762596,39768153,41100376,42522562,42624474,44411599,46000035,47396114,48587420,50994500
