GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "26000","Michigan",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",36067948,37361665,40643958,45132028,50382867,53913200,57745117,64457792,72465620,80772906,88478725,94684397,101254248,104816500,111577181,123177165,133599143,142047588,147561422,157523158,169629265,177393177,181414249,192235076,202432450,217745440,230305875,242218472,254938948,270151457,283993801,302644217,307686901,307192550,314558568,323431848,330450492,338507735,347961924,355102678,336954522,349577666,370676114,386568384,390199848,408617625,432391533,446521148,461485516,484029844
 "26000","Michigan",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915
 "26000","Michigan",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4107,4200,4530,5001,5554,5918,6340,7070,7913,8778,9566,10230,10995,11499,12332,13612,14720,15562,16061,17089,18332,19051,19298,20280,21219,22687,23801,24821,25990,27432,28695,30409,30796,30671,31327,32165,32877,33729,34792,35700,34030,35391,37512,39059,39361,41147,43533,44868,46258,48423
 "26001","Alcona, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19374,21810,24307,27458,31313,33950,39288,44950,50829,57033,63060,71449,78937,84814,91199,99819,106143,111225,115150,121038,130780,141995,146854,152946,159290,173336,190911,199742,210004,226498,237477,250088,251323,251932,258315,262275,269489,272131,281120,297651,293637,306068,316402,325920,332110,341795,355956,362321,378069,397641
 "26001","Alcona, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",6434,7203,7600,8114,8417,8558,8684,8976,9258,9470,9560,9760,9822,9802,9833,9858,10012,10098,9981,10159,10143,10169,10312,10401,10316,10560,10775,11106,11233,11464,11641,11677,11665,11480,11495,11459,11517,11503,11412,11286,11106,10877,10740,10570,10551,10448,10329,10356,10323,10362
 "26001","Alcona, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3011,3028,3198,3384,3720,3967,4524,5008,5490,6022,6596,7321,8037,8653,9275,10126,10602,11015,11537,11914,12894,13964,14241,14705,15441,16414,17718,17985,18695,19757,20400,21417,21545,21945,22472,22888,23399,23657,24634,26373,26439,28139,29460,30834,31477,32714,34462,34987,36624,38375
 "26003","Alger, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",20972,22634,24578,26849,30004,33418,37929,41957,45244,50018,53451,58531,62656,66421,70343,77157,81290,90934,94994,99313,107676,112874,121002,130648,138349,149431,155736,164377,174806,179546,184883,192145,211245,211799,211428,221083,216902,216822,218465,225554,229497,238631,249554,255083,259846,271086,285303,288508,294623,307181
 "26003","Alger, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8244,8547,8443,8225,8403,8541,8766,9048,9344,9387,9389,9260,9378,9252,9084,8965,8944,8794,8760,8841,8905,8974,9678,9761,9752,9818,9870,9831,9898,9866,9945,9819,9815,9764,9694,9680,9633,9687,9779,9647,9334,9579,9515,9448,9435,9361,9251,9124,9137,9097
 "26003","Alger, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2544,2648,2911,3264,3571,3913,4327,4637,4842,5328,5693,6321,6681,7179,7744,8606,9089,10340,10844,11233,12092,12578,12503,13385,14187,15220,15779,16720,17661,18198,18591,19569,21523,21692,21810,22839,22517,22383,22340,23381,24587,24912,26227,26999,27541,28959,30840,31621,32245,33767
 "26005","Allegan, MI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",220568,234452,255656,293139,333977,367680,400612,439066,501841,577385,657525,705146,769027,805652,856858,956582,1012829,1133580,1213509,1283537,1402530,1486278,1545364,1659238,1769670,1931474,2063100,2212721,2375322,2529226,2747651,2932943,2930742,2868223,2934859,3103549,3272766,3408486,3537840,3651216,3556249,3685258,3981789,4041152,4185140,4370149,4598636,4764675,4981870,5301034
 "26005","Allegan, MI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",63641,66858,68672,70467,71174,72423,73968,75800,77411,78761,80896,81891,83059,83214,82928,83592,84528,85456,86970,88278,89217,90982,92021,93300,94801,96294,97941,99560,101237,102543,104476,105904,107367,108203,109192,110225,110865,111156,111427,111589,111252,111528,111158,111499,112013,113357,114136,114995,116433,117327
 "26005","Allegan, MI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3466,3507,3723,4160,4692,5077,5416,5792,6483,7331,8128,8611,9259,9682,10333,11443,11982,13265,13953,14540,15720,16336,16794,17784,18667,20058,21065,22225,23463,24665,26299,27694,27296,26508,26878,28156,29520,30664,31750,32720,31966,33043,35821,36244,37363,38552,40291,41434,42787,45182
