GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "29000","Missouri",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16912485,18479482,19938913,21682224,24089650,25774725,28212715,30912024,34252401,38129735,42513848,46120241,51516587,55083525,58757912,65189289,69743973,73416857,77345852,82131486,88040042,91909039,95964054,102138919,106821070,113391093,119590208,126668265,134328093,141158193,146923424,157009200,161989240,165665484,171751118,180801720,187528663,198791575,208403566,219503349,215681804,220788141,230429734,241762688,243582342,252999728,261666491,269880482,279433435,292512822
 "29000","Missouri",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5995976,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452
 "29000","Missouri",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3645,3945,4222,4562,5045,5386,5883,6409,7070,7828,8695,9370,10445,11174,11885,13103,13948,14616,15296,16162,17277,17920,18559,19578,20265,21296,22236,23321,24507,25564,26416,28001,28716,29193,30082,31456,32387,34024,35397,37054,36182,36823,38343,40133,40324,41775,43096,44336,45744,47746
 "29001","Adair, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",56826,61264,66775,75018,89851,98984,112804,124839,136999,151369,172100,185281,208980,213959,226158,236127,244938,251365,260119,270420,300825,315673,339339,365202,381754,406167,421440,435775,455710,465077,482360,511694,527124,527814,530741,559348,576504,603828,632552,674714,711589,696616,730848,737002,754314,771412,792552,799996,809663,850840
 "29001","Adair, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",22534,22413,22294,23360,23945,23893,23438,24099,24055,24333,24500,24957,25257,25361,25527,25516,25314,24744,24766,24489,24567,24584,24574,24690,24844,24959,24998,24883,24871,24887,24961,24956,24967,25072,24958,24988,24849,25007,24983,25399,25577,25623,25652,25671,25701,25516,25307,25155,25306,25339
 "29001","Adair, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2522,2733,2995,3211,3752,4143,4813,5180,5695,6221,7024,7424,8274,8437,8860,9254,9676,10159,10503,11043,12245,12841,13809,14791,15366,16273,16859,17513,18323,18688,19325,20504,21113,21052,21265,22385,23200,24146,25319,26565,27821,27187,28491,28710,29350,30232,31318,31803,31995,33578
 "29003","Andrew, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",42186,43086,47893,53291,65045,62043,69758,72942,85352,95812,111308,111292,128912,133778,141272,159274,175334,179100,184279,189493,211066,221920,237020,253422,260721,282900,297855,323640,354299,376669,405747,431759,430404,423560,433164,471079,478482,516393,559228,612255,615875,615615,645153,660175,688635,706489,715583,730169,761246,794393
 "29003","Andrew, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",12044,12008,12410,12616,12818,12980,13483,13442,13431,13833,13793,14016,14132,14270,14511,14710,14610,14477,14537,14598,14534,14696,14898,15042,15157,15416,15633,15727,15948,16212,16308,16522,16580,16501,16608,16580,16511,16861,16834,16924,17036,17348,17201,17313,17309,17283,17318,17357,17449,17607
 "29003","Andrew, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3503,3588,3859,4224,5075,4780,5174,5426,6355,6926,8070,7940,9122,9375,9736,10828,12001,12371,12677,12981,14522,15101,15910,16848,17201,18351,19053,20579,22216,23234,24880,26132,25959,25669,26082,28412,28980,30626,33220,36177,36151,35486,37507,38132,39785,40878,41320,42068,43627,45118
 "29005","Atchison, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",31225,35153,36997,44395,55172,46094,53623,55706,55714,66061,74166,49273,79939,80678,75292,94501,104213,105026,99343,88889,94366,109237,115244,124772,104893,137596,120524,152862,154838,153938,153164,167181,167614,156900,169888,190703,179538,180270,195106,227426,247429,239714,249453,243281,275986,284798,223803,239058,245879,220457
 "29005","Atchison, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",9350,9311,9700,9857,9506,9655,9638,9359,9296,8945,8800,8616,8645,8793,8612,8528,8150,7898,7784,7716,7625,7401,7336,7122,6981,6930,6898,6952,6733,6629,6548,6389,6344,6189,6193,6153,6053,5908,5909,5798,5781,5658,5573,5513,5422,5358,5293,5279,5248,5171
 "29005","Atchison, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3340,3775,3814,4504,5804,4774,5564,5952,5993,7385,8428,5719,9247,9175,8743,11081,12787,13298,12762,11520,12376,14760,15709,17519,15025,19855,17472,21988,22997,23222,23391,26167,26421,25351,27432,30993,29661,30513,33018,39225,42800,42367,44761,44129,50901,53154,42283,45285,46852,42633
 "29007","Audrain, MO",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",85593,93936,98982,107489,131647,130171,142646,151019,174670,193719,218790,220637,253658,257493,257728,293199,311418,308349,317746,333827,361059,360250,380390,398966,419312,426626,462779,497069,528707,566883,546641,601558,612290,595753,613289,702963,688242,730132,779394,794907,805199,825091,861167,847198,908787,963074,989602,996402,979161,1021755
 "29007","Audrain, MO",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",25670,25486,26074,26009,25527,25867,26044,26304,26143,26027,25739,26417,26199,25947,25617,25432,25301,24856,24609,24287,23853,23642,23906,24045,24321,24538,24652,24993,25233,25650,25810,25862,25784,25800,25728,25555,25725,25869,25658,25774,25628,25451,25529,25530,25544,25815,25937,25848,25600,25473
 "29007","Audrain, MO",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3334,3686,3796,4133,5157,5032,5477,5741,6681,7443,8500,8352,9682,9924,10061,11529,12309,12405,12912,13745,15137,15238,15912,16592,17241,17386,18772,19888,20953,22101,21179,23260,23747,23091,23837,27508,26754,28224,30376,30841,31419,32419,33733,33184,35577,37307,38154,38549,38248,40111
