GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "30000","Montana",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2350491,2604190,2787297,3230256,3745221,4069917,4478717,4806477,5197877,6090546,6548668,7211128,8194340,8635647,9076888,9602766,9738412,10125627,10398004,10687855,11775559,12378011,13196264,14013952,15163358,15585255,16415894,17203322,17939129,19182224,19592180,20871945,21753390,22359888,23980935,25967935,28000613,30402304,32716567,34421359,33711467,35561830,38077749,40471028,40720773,42817536,44831039,45507927,47717879,50499695
 "30000","Montana",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990722,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305
 "30000","Montana",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3387,3735,3920,4492,5149,5521,5978,6337,6739,7768,8298,9142,10303,10741,11151,11698,11843,12443,12916,13356,14726,15469,16298,16971,17950,18095,18728,19411,20159,21494,21830,23094,23985,24526,26077,27922,29785,31912,33914,35253,34260,35895,38184,40320,40176,41900,43504,43721,45312,47538
 "30001","Beaverhead, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",25464,28558,30645,36775,41615,42725,45490,44317,45772,56732,62648,65548,75489,79490,85657,90776,92366,98469,99224,104692,116236,124145,129832,136206,147263,150916,159494,163745,171301,182247,183742,194155,206594,205744,217021,229497,240850,241887,267082,282002,280752,288833,313754,341099,355501,384602,415225,412789,406977,420024
 "30001","Beaverhead, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",8113,8207,8227,8085,8011,8124,7974,7904,7845,8044,7919,8240,8442,8674,8717,8496,8497,8492,8460,8520,8543,8429,8487,8696,8793,8951,9168,9394,9244,9133,9184,9204,9058,9018,8924,8908,8904,9012,9028,9166,9200,9255,9209,9358,9305,9337,9298,9471,9453,9404
 "30001","Beaverhead, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3139,3480,3725,4549,5195,5259,5705,5607,5835,7053,7911,7955,8942,9164,9826,10685,10870,11596,11729,12288,13606,14728,15298,15663,16748,16860,17397,17431,18531,19955,20007,21095,22808,22815,24319,25763,27050,26841,29584,30766,30517,31208,34070,36450,38205,41191,44657,43585,43053,44664
 "30003","Big Horn, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",27925,31357,30260,37374,45473,50621,49596,49069,53945,70068,77584,92366,103569,99803,99454,105220,106618,109624,110112,109173,120483,126995,142067,152914,167359,163974,162293,163179,176306,185742,189861,207773,219635,216718,245835,260382,278240,266687,289079,306731,305484,319493,341722,343383,336435,342482,360288,369579,378198,407244
 "30003","Big Horn, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",10052,10063,10150,10300,10304,10500,10975,10617,10727,11342,10932,11051,10851,10961,11032,11229,11411,11446,11261,11210,11466,11313,11400,11622,11773,12074,12215,12418,12669,12673,12653,12669,12783,12713,12652,12731,12634,12540,12549,12564,12747,12915,13060,13000,13119,13343,13309,13448,13444,13338
 "30003","Big Horn, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2778,3116,2981,3629,4413,4821,4519,4622,5029,6178,7097,8358,9545,9105,9015,9370,9343,9577,9778,9739,10508,11226,12462,13157,14215,13581,13286,13141,13916,14657,15005,16400,17182,17047,19431,20453,22023,21267,23036,24413,23965,24738,26166,26414,25645,25668,27071,27482,28131,30533
 "30005","Blaine, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",18219,21682,22022,28784,36698,35592,35997,35733,34860,46053,43794,45880,56480,57835,60718,64045,58984,68500,70822,72278,86119,84347,89230,94972,100809,90110,93032,95820,99178,112648,112774,113722,115793,108008,119388,134744,142631,133467,151373,158833,165416,174058,186952,186887,199572,195010,197882,194220,197793,212806
 "30005","Blaine, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",6868,6740,6752,6677,6834,6656,6726,6995,7016,7309,7239,7002,7004,6959,6994,7139,7196,7042,6970,6945,6932,6685,6773,6819,6950,7054,7051,7103,7159,7101,7087,6968,6748,6769,6699,6571,6592,6536,6472,6401,6445,6503,6574,6680,6635,6705,6674,6707,6744,6807
 "30005","Blaine, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2653,3217,3262,4311,5370,5347,5352,5108,4969,6301,6050,6552,8064,8311,8681,8971,8197,9727,10161,10407,12423,12617,13174,13928,14505,12774,13194,13490,13854,15864,15913,16321,17160,15956,17822,20506,21637,20420,23389,24814,25666,26766,28438,27977,30079,29084,29650,28958,29329,31263
 "30007","Broadwater, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",6911,8139,8836,10576,13203,15168,14595,16560,17434,23335,24047,24334,26542,27252,30747,32214,32538,37996,37760,38024,41189,43349,48289,55878,60696,61682,64890,70341,76031,79408,83263,85785,88363,90513,97628,110191,116132,122886,142492,174187,171910,173612,191110,186978,202567,201241,208139,217749,225901,239174
 "30007","Broadwater, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2552,2540,2583,2617,2660,2660,2757,2943,3019,3199,3271,3253,3194,3301,3411,3435,3494,3463,3465,3435,3338,3328,3381,3574,3638,3747,3976,4128,4240,4296,4364,4378,4438,4478,4562,4711,4775,4958,5089,5261,5496,5632,5724,5758,5675,5652,5713,5785,5933,6085
 "30007","Broadwater, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2708,3204,3421,4041,4964,5702,5294,5627,5775,7294,7352,7480,8310,8256,9014,9378,9313,10972,10898,11070,12339,13026,14282,15635,16684,16462,16320,17040,17932,18484,19080,19595,19911,20213,21400,23390,24321,24785,28000,33109,31279,30826,33387,32473,35695,35605,36433,37640,38075,39306
 "30009","Carbon, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",22138,23892,26297,32315,37938,40959,38411,40513,44970,54219,58373,67821,76930,79515,84497,91214,94629,92544,95048,102034,115340,117265,128108,139516,153769,154332,163683,177182,191226,210042,217505,228475,243221,244041,260987,299094,316206,325356,336542,345723,330538,355354,391923,415212,419013,443337,459208,465899,480152,508296
 "30009","Carbon, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",7204,7081,7135,7470,7500,7681,7794,8038,8172,8353,8400,8119,8183,8342,8582,8756,8627,8441,8218,8182,8144,8077,8001,8295,8586,8896,8953,9183,9400,9364,9495,9561,9665,9714,9747,9796,9921,9916,9973,9965,10033,10063,10088,10141,10336,10438,10403,10485,10691,10714
 "30009","Carbon, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3073,3374,3686,4326,5058,5333,4928,5040,5503,6491,6949,8353,9401,9532,9846,10417,10969,10964,11566,12471,14163,14518,16011,16819,17909,17348,18282,19295,20343,22431,22907,23897,25165,25123,26776,30532,31872,32811,33745,34694,32945,35313,38850,40944,40539,42473,44142,44435,44912,47442
 "30011","Carter, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",8168,7554,6202,9215,12848,9460,7768,7530,8199,12150,13663,13294,14874,12608,14295,14844,13435,19095,19104,18264,21000,19203,20770,21638,24371,20943,17843,17723,19482,21676,26937,26146,30878,23964,28763,30708,34924,27800,36384,38730,33005,34702,40084,55481,58998,65514,70658,62069,55091,54915
 "30011","Carter, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",2006,1944,1895,1915,1902,1898,1923,1889,1885,1870,1815,1795,1777,1738,1764,1729,1727,1678,1655,1597,1533,1489,1436,1482,1482,1505,1441,1444,1455,1450,1391,1335,1337,1319,1290,1284,1258,1227,1216,1172,1180,1160,1136,1157,1152,1150,1147,1175,1223,1238
 "30011","Carter, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4072,3886,3273,4812,6755,4984,4040,3986,4350,6497,7528,7406,8370,7254,8104,8585,7779,11380,11543,11436,13699,12897,14464,14601,16445,13916,12382,12274,13390,14949,19365,19585,23095,18168,22297,23916,27762,22657,29921,33046,27970,29916,35285,47952,51214,56969,61602,52825,45046,44358
 "30013","Cascade, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",319892,357739,384731,429950,468382,516168,558424,619187,670908,740513,798576,847771,911044,956506,1019329,1075396,1084569,1118501,1150773,1215641,1303500,1352856,1421630,1479441,1572673,1594870,1676640,1730378,1780473,1872743,1892112,1977231,2060260,2141602,2228618,2362233,2463626,2672578,2796383,2917692,2948113,3125339,3231012,3298332,3276114,3437655,3539410,3583892,3695959,3879504
 "30013","Cascade, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",81183,82258,84453,84842,84728,85126,84693,84869,86247,86611,84475,80627,80183,79791,80621,80318,79591,78179,77733,77681,78098,77788,78651,79727,81028,82134,82201,82429,80861,80709,80596,80318,80055,79848,79633,80198,80041,79984,80099,80529,80680,81501,81694,81611,82189,82058,81887,81536,81604,81643
 "30013","Cascade, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3940,4349,4556,5068,5528,6064,6594,7296,7779,8550,9453,10515,11362,11988,12643,13389,13627,14307,14804,15649,16691,17392,18075,18556,19409,19418,20397,20992,22019,23204,23477,24618,25736,26821,27986,29455,30780,33414,34912,36232,36541,38347,39550,40415,39861,41893,43223,43955,45291,47518
 "30015","Chouteau, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",27984,32673,33275,31949,55060,69781,70936,47454,37653,54187,39958,47086,71980,68862,77807,72080,55009,77138,84817,71605,105430,111884,120363,95712,144282,114163,126480,124866,115637,118741,124822,118944,112434,120697,137588,141538,143003,139120,162112,189485,157774,176792,205213,211169,204502,176896,188235,183263,188067,214520
 "30015","Chouteau, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",6564,6457,6394,6213,6027,6058,6095,6015,6138,6214,6133,6090,6072,6139,6168,6056,5924,5765,5704,5670,5491,5468,5530,5665,5613,5760,5848,5922,5860,5894,5846,6062,5899,5811,5775,5729,5708,5709,5746,5774,5793,5810,5811,5931,5851,5897,5772,5778,5752,5745
 "30015","Chouteau, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4263,5060,5204,5142,9136,11519,11638,7889,6134,8720,6515,7732,11854,11217,12615,11902,9286,13380,14870,12629,19201,20462,21765,16895,25705,19820,21628,21085,19733,20146,21352,19621,19060,20770,23825,24706,25053,24369,28213,32817,27235,30429,35315,35604,34952,29998,32612,31717,32696,37340
 "30017","Custer, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",46475,47934,51518,57974,65919,72696,78115,86210,95732,112334,122697,138744,145559,154046,160887,171346,167665,162600,160102,164904,177658,184178,194382,208692,221927,222226,226643,228300,235016,243950,242283,256221,272861,271946,298348,307412,317747,338154,366413,380573,368590,412543,426951,456045,478050,499160,519765,495456,506651,517761
 "30017","Custer, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",12296,12136,11989,11811,11760,12043,12105,12901,13040,12880,13171,13107,13072,13080,13207,13242,13077,12799,12692,12337,11861,11684,11626,11785,11983,12060,12085,12114,12042,11965,11782,11678,11484,11510,11438,11510,11423,11395,11480,11515,11646,11693,11758,11797,11872,12007,12075,11832,11725,11586
 "30017","Custer, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3780,3950,4297,4908,5605,6036,6453,6682,7341,8722,9316,10585,11135,11777,12182,12940,12821,12704,12614,13367,14978,15763,16720,17708,18520,18427,18754,18846,19516,20389,20564,21940,23760,23627,26084,26708,27816,29676,31918,33050,31649,35281,36312,38658,40267,41572,43045,41874,43211,44689
 "30019","Daniels, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",11826,14654,13345,19440,27638,23394,26477,22449,21846,24922,20217,23968,31484,36444,29667,28384,26127,36265,34063,31796,36041,36167,38998,42141,47344,44699,48847,49863,49597,51095,57119,55514,53483,51387,51995,56084,54697,46030,62833,54756,65280,88958,75985,108528,78968,69915,73260,68974,63503,84006
 "30019","Daniels, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",3144,3065,3018,3016,2999,2982,3007,3001,2972,2907,2855,2830,2806,2775,2754,2688,2609,2479,2465,2406,2344,2246,2151,2152,2149,2162,2168,2149,2098,2053,2041,2005,1999,1912,1881,1804,1782,1748,1702,1704,1732,1749,1761,1775,1778,1798,1751,1735,1739,1747
 "30019","Daniels, MT",7,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3761,4781,4422,6446,9216,7845,8805,7481,7351,8573,7081,8469,11220,13133,10772,10560,10014,14629,13819,13215,15376,16103,18130,19582,22031,20675,22531,23203,23640,24888,27986,27688,26755,26876,27642,31089,30694,26333,36917,32134,37691,50862,43149,61143,44414,38885,41839,39754,36517,48086
 "30021","Dawson, MT",7,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",37209,40324,40168,48533,63130,63719,67868,70479,76649,92672,100701,118367,145509,149944,140848,142577,135078,128036,129351,125217,131754,131849,141653,148953,152278,155733,158258,171467,170579,176342,185148,184671,200870,196873,212887,209766,228548,240996,268976,298307,287817,307850,339459,384283,385530,421875,399807,368356,370243,393162
 "30021","Dawson, MT",7,CAINC1,2,"...","Population (persons) 1/","Number of persons",11376,11251,11304,11122,11048,11033,10968,11662,11748,11873,11884,11824,11876,12414,12274,11844,11448,10934,10453,10244,9950,9410,9334,9135,9131,9142,9249,9324,9281,9140,9071,9050,8963,8801,8812,8764,8800,8853,8944,8925,9008,8950,9025,9232,9382,9506,9572,9254,8945,8680
