GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "37000","North Carolina",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",15858142,17320423,18856792,21319016,24174505,26653856,28942763,32132322,35208099,39736164,43908313,49246957,55496710,59420072,64644452,73126172,79020157,85194512,91884496,100589475,109693130,116522487,121893315,132674908,141458338,150582582,161486709,172816700,185687858,198775179,208769698,222564907,228879962,232267281,241625829,261640155,281033775,306078047,329509436,350848256,338315713,341627602,355052267,379925288,376023857,397995923,419891523,433195584,453769026,478861557
 "37000","North Carolina",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620
 "37000","North Carolina",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3152,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8348,9317,9872,10637,11863,12635,13477,14349,15522,16708,17485,17967,19236,20085,20951,21987,23040,24251,25454,26262,27540,27878,27896,28688,30590,32283,34324,36138,37687,35802,35682,36767,38970,38200,40064,41851,42651,44180,46117
 "37001","Alamance, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",329879,350273,381007,424017,469926,504551,536960,590057,628721,697983,781945,871795,979962,1050004,1133432,1254093,1334700,1448617,1548484,1682733,1829543,1901481,1981909,2111525,2245397,2379702,2545725,2695792,2900497,3120173,3286244,3457352,3596372,3658312,3774373,3849857,4003936,4357918,4663288,4856635,4728074,4846334,5052980,5258423,5271542,5539607,5785944,5985371,6237219,6548003
 "37001","Alamance, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",96050,96843,98499,99740,99940,99272,98243,98721,98505,98540,99048,99532,100083,101000,101559,101706,102524,103515,105072,106327,107425,108695,110762,112825,114678,116788,118796,121263,123877,126232,128743,131423,133346,135239,136009,137619,139311,141462,144712,147704,149954,151440,152696,153282,154199,155425,157100,160392,163529,166436
 "37001","Alamance, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3434,3617,3868,4251,4702,5083,5466,5977,6383,7083,7895,8759,9791,10396,11160,12331,13018,13994,14737,15826,17031,17494,17893,18715,19580,20376,21429,22231,23414,24718,25526,26307,26970,27051,27751,27975,28741,30806,32225,32881,31530,32002,33092,34306,34187,35642,36830,37317,38141,39342
 "37003","Alexander, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",57882,59796,66867,75107,89470,94742,101401,116936,133293,148161,163257,183718,211658,214133,242755,284709,298020,323924,338411,367275,411174,439252,454638,497064,532904,572454,596672,605467,649490,721660,782541,824587,845693,830492,841447,910357,945709,987424,1027068,1014545,1002350,1028703,1046610,1092204,1125351,1200641,1264629,1265864,1343855,1398436
 "37003","Alexander, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",18795,19593,20347,21184,22069,22673,22894,23080,23588,24058,24719,25066,25260,25572,25865,26097,26348,26557,26796,27078,27423,27652,28095,28453,29208,29949,30496,30967,31668,32492,33274,33774,34187,34665,34998,35343,35786,36243,36609,36840,37053,37235,37028,36925,37016,36992,36960,37142,37146,37353
 "37003","Alexander, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3080,3052,3286,3545,4054,4179,4429,5067,5651,6158,6605,7329,8379,8374,9385,10910,11311,12197,12629,13564,14994,15885,16182,17470,18245,19114,19566,19552,20509,22210,23518,24415,24737,23958,24043,25758,26427,27245,28055,27539,27052,27627,28265,29579,30402,32457,34216,34082,36178,37438
 "37005","Alleghany, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",19145,20531,23339,27217,31140,32791,36987,39826,43735,49993,57114,63073,69976,76421,80345,87349,89674,93962,103319,114501,126878,136210,144548,157069,171020,180790,202294,212421,230576,250184,267442,270151,267314,266367,266695,277453,287925,287128,300656,311724,316736,320735,330440,339312,346511,369929,392939,398139,407289,419084
 "37005","Alleghany, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",8084,8147,8337,8653,8768,9041,9018,9269,9300,9405,9620,9607,9664,9754,9722,9699,9549,9530,9550,9519,9578,9622,9756,9830,9870,10020,10174,10241,10287,10437,10567,10673,10740,10740,10776,10790,10788,10940,11061,11131,11125,11139,11017,10945,10905,10895,10861,10926,11023,11161
 "37005","Alleghany, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2368,2520,2799,3145,3552,3627,4101,4297,4703,5316,5937,6565,7241,7835,8264,9006,9391,9860,10819,12029,13247,14156,14816,15979,17327,18043,19883,20742,22414,23971,25309,25312,24890,24801,24749,25714,26689,26246,27182,28005,28471,28794,29994,31002,31775,33954,36179,36440,36949,37549
 "37007","Anson, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",53828,57067,62544,72275,83576,89276,94958,109967,118558,134094,148668,163367,175779,182435,190715,220923,228041,252802,265672,288891,316491,339623,351562,368349,398795,409867,435083,457314,482655,517707,531957,558377,584657,555426,560875,609662,633801,669800,710214,713071,692502,718284,720677,745909,745137,792871,813693,795172,834185,861148
 "37007","Anson, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",23826,23511,23791,24130,24469,24388,24652,24788,24888,24895,25185,25620,25427,25317,25208,24997,24848,24605,24336,24117,23755,23498,23564,23761,24483,24698,24630,24977,25134,25340,25288,25342,25553,25723,25749,26386,26585,26599,26664,26837,26917,26852,26508,26312,25964,25974,25620,25182,24878,24877
 "37007","Anson, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2259,2427,2629,2995,3416,3661,3852,4436,4764,5386,5903,6377,6913,7206,7566,8838,9177,10274,10917,11979,13323,14453,14919,15502,16289,16595,17665,18309,19203,20430,21036,22034,22880,21593,21782,23106,23841,25181,26636,26570,25727,26750,27187,28349,28699,30526,31760,31577,33531,34616
 "37009","Ashe, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",39913,43533,47776,56093,67696,73389,76261,87638,96640,115695,125114,130368,144043,159164,180325,206062,222978,238555,248783,268989,289140,301451,319939,336382,371327,404156,436890,447434,480873,505748,538184,563964,588163,588063,595563,625959,642726,685148,726903,760748,778959,788737,798542,840747,837171,861580,891243,913435,947971,984049
 "37009","Ashe, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",19606,19617,19998,19986,20207,20468,20671,20926,21253,21643,21834,22361,22440,22496,22605,22681,22716,22394,22398,22361,22317,22206,22416,22511,22786,23099,23339,23691,23865,23989,24181,24480,24750,25029,25288,25684,25838,26134,26506,26858,27144,27228,26984,26927,26849,26772,26637,26611,26803,27109
 "37009","Ashe, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2036,2219,2389,2807,3350,3586,3689,4188,4547,5346,5730,5830,6419,7075,7977,9085,9816,10653,11107,12029,12956,13575,14273,14943,16296,17497,18719,18886,20150,21082,22256,23038,23764,23495,23551,24372,24875,26217,27424,28325,28697,28968,29593,31223,31181,32182,33459,34325,35368,36300
 "37011","Avery, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",25435,27930,31132,35351,39752,43665,48154,52863,59540,68014,77111,85718,94107,101447,114861,133399,140500,153285,161149,175067,194396,207541,224117,238975,272855,280543,307098,315255,343676,362133,384253,404518,402921,401648,406589,416423,434036,434876,470689,469557,483514,484007,499103,519536,515270,550394,570402,582414,611662,640224
 "37011","Avery, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12609,12744,13180,13501,13592,14056,14154,14189,14169,14220,14316,14441,14529,14572,14644,14760,14723,14687,14809,14828,14868,14925,15024,15162,15377,15472,15665,15931,16123,16255,17040,17318,17706,17867,17896,17971,17945,18104,17949,18024,17925,17765,17728,17576,17614,17615,17455,17423,17505,17505
 "37011","Avery, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2017,2192,2362,2618,2925,3107,3402,3726,4202,4783,5386,5936,6477,6962,7844,9038,9543,10437,10882,11807,13075,13906,14917,15761,17744,18132,19604,19789,21316,22278,22550,23358,22756,22480,22720,23172,24187,24021,26224,26052,26974,27245,28153,29559,29253,31246,32678,33428,34942,36574
 "37013","Beaufort, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",89468,101373,103369,123812,146320,161471,174957,202380,211546,248544,271426,308253,340631,363732,374390,424704,450433,475143,503999,550279,596484,639887,654681,686409,722940,745827,791670,855262,917897,943549,984414,1056093,1083647,1095366,1164296,1217025,1300549,1389138,1489016,1549002,1544467,1593869,1637152,1740776,1755404,1776592,1826889,1854571,1895165,1960531
 "37013","Beaufort, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",36478,36024,36306,36324,36923,37199,38095,38923,39371,39744,40236,40527,41095,41613,42025,42372,42211,41975,41903,42171,42179,42374,42673,42945,43349,43683,43888,43882,44120,44423,45001,44950,45084,45216,45418,45618,46059,46622,46702,47297,47485,47807,47655,47418,47372,47328,47385,47370,47051,47079
 "37013","Beaufort, NC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2453,2814,2847,3409,3963,4341,4593,5199,5373,6254,6746,7606,8289,8741,8909,10023,10671,11320,12028,13049,14142,15101,15342,15983,16677,17074,18038,19490,20805,21240,21875,23495,24036,24225,25635,26679,28237,29796,31883,32751,32525,33340,34354,36711,37056,37538,38554,39151,40279,41643
 "37015","Bertie, NC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",43803,45857,46970,57431,71958,81088,85905,96008,104555,112135,120036,130453,154473,169584,173326,195188,204535,226174,223153,229092,251396,268117,280865,293935,311661,343365,354165,366630,374718,391323,395278,402997,437185,428653,442379,464965,492348,507754,550362,573392,593181,592169,579713,620058,617452,629016,639001,624087,652208,661453
 "37015","Bertie, NC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",20787,20583,20856,20885,20678,20578,20940,21031,21273,21187,20984,21034,21014,21048,21132,21023,21001,20806,20677,20522,20497,20390,20459,20320,20445,20419,20439,20257,20129,19964,19903,19762,19829,19841,19897,20018,20057,19936,20927,21121,21216,21245,20854,20491,20326,20321,20167,19432,19274,19026
