GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "38000","North Dakota",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1990570,2102372,2424204,2887407,4036830,3998170,4181464,4101883,4261106,5357868,5507412,5269899,6899449,7453236,7831128,8458262,8740885,8869920,9133063,8466566,9482678,10256587,10388057,11391699,11547525,12547582,12570634,14065748,13771145,15105235,15328792,16663930,16963494,17347849,18863773,19234383,20381689,21361380,23686548,26555213,26361295,29344633,32882167,38859786,38860616,41526191,40600607,39622200,39774613,42147741
 "38000","North Dakota",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674710,685136,701116,721999,737382,754022,754353,755176,760077
 "38000","North Dakota",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3205,3397,3868,4576,6383,6304,6549,6357,6564,8235,8445,8053,10462,11141,11573,12429,12912,13248,13814,12920,14671,16084,16340,17849,18009,19460,19404,21627,21196,23327,23793,25955,26544,27184,29529,29834,31546,32893,36283,40384,39643,43492,47994,55426,53824,56316,53845,52525,52669,55452
 "38001","Adams, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",13522,14866,15755,18214,29727,26021,24071,20770,23469,27472,28134,25229,35031,33987,38532,43415,40151,42888,44167,37603,42785,44984,43526,53083,52681,48500,47533,55928,48978,54739,57416,64245,65023,56349,74338,71186,77988,77092,88573,85265,89671,97963,103056,132778,111981,117496,120206,116869,139562,135797
 "38001","Adams, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",3897,3800,3717,3701,3746,3730,3710,3724,3725,3616,3586,3577,3544,3472,3546,3525,3578,3487,3401,3309,3217,3157,3092,3024,2834,2866,2814,2820,2784,2734,2648,2578,2542,2509,2469,2436,2405,2366,2362,2343,2325,2351,2312,2334,2392,2388,2398,2344,2330,2294
 "38001","Adams, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3470,3912,4239,4921,7936,6976,6488,5577,6300,7597,7846,7053,9885,9789,10866,12316,11222,12299,12986,11364,13300,14249,14077,17554,18589,16923,16892,19833,17593,20022,21683,24920,25579,22459,30109,29222,32427,32583,37499,36391,38568,41669,44574,56889,46815,49203,50128,49859,59898,59197
 "38003","Barnes, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",46424,47522,56664,65974,87351,94046,99329,84887,91980,123400,120246,87105,119445,144880,134970,164840,162273,160857,172337,140630,171848,205138,188648,212888,190565,219836,211363,253354,222647,258002,249648,288462,277878,287004,308489,314105,330183,326353,383763,451264,411242,499143,504743,588786,555410,544991,530558,566740,547865,588079
 "38003","Barnes, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",14934,14671,14893,14854,14367,14135,13898,14086,14157,14239,14195,13945,13853,13692,13576,13496,13237,13088,13011,12834,12723,12509,12422,12320,12231,12078,12092,12079,12084,12001,11914,11692,11446,11281,11199,11202,11171,11106,11057,11027,11028,11064,11111,11004,11111,11060,11005,10896,10676,10542
 "38003","Barnes, ND",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3109,3239,3805,4441,6080,6653,7147,6026,6497,8666,8471,6246,8622,10581,9942,12214,12259,12290,13245,10958,13507,16399,15187,17280,15580,18201,17480,20975,18425,21498,20954,24672,24277,25441,27546,28040,29557,29385,34708,40924,37291,45114,45427,53507,49987,49276,48211,52014,51317,55784
 "38005","Benson, ND",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",20352,21710,26507,32316,52846,50829,55463,46306,38362,62354,55052,38882,61183,76828,67511,83653,91631,80661,82106,57734,80233,98942,86518,93338,93516,104129,91012,115680,100330,118385,109547,123749,122122,129415,166147,139488,152357,148556,187289,216254,206372,217263,237853,285272,225237,213728,201234,221613,220547,240064
 "38005","Benson, ND",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",8382,8242,8245,8481,8212,8276,8411,8439,8445,8395,8153,7908,7748,7746,7788,7992,7904,7839,7722,7599,7317,7193,7017,6913,7040,7018,7022,6905,6947,6962,6949,6943,6898,6727,6744,6788,6745,6709,6683,6622,6609,6677,6686,6769,6896,6883,6817,6835,6935,6962
