GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "31000","Nebraska",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5379281,5798379,6368793,7052470,8225746,8565102,9766447,10217431,11073092,12810851,13834164,14758195,17140491,18420706,19046743,21214693,22348417,22999548,24065752,25727175,27305470,29240271,30304871,32208358,33288531,35431168,37436425,40790147,42017542,44860767,46968837,49735572,51961895,52767697,56024389,58602395,60790127,63584164,68466071,72259906,71173478,74864169,83613634,86293705,86913907,91999040,95687428,94730780,97151035,102759317
 "31000","Nebraska",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",1474000,1487963,1504208,1518293,1528517,1537809,1541440,1548901,1554466,1560826,1564356,1572296,1578517,1581776,1584293,1588638,1584661,1574328,1566544,1571477,1574858,1581660,1595919,1611687,1625590,1639041,1656992,1673740,1686418,1695816,1704764,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829536,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268
 "31000","Nebraska",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3649,3897,4234,4645,5382,5570,6336,6597,7123,8208,8843,9386,10859,11646,12022,13354,14103,14609,15362,16371,17338,18487,18989,19984,20478,21617,22593,24371,24915,26454,27552,29020,30213,30532,32223,33499,34510,35869,38390,40225,39264,40920,45429,46562,46592,48948,50588,49703,50663,53263
 "31001","Adams, NE",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",109312,119091,127790,137744,159490,171470,192665,204901,222940,248333,288013,305606,347384,360748,369379,411271,417559,420581,442548,480954,503498,539277,552367,563002,570918,614278,660415,700276,698413,744743,773520,804900,850892,858192,906651,909011,966086,993830,1091761,1131593,1125544,1152914,1283359,1360709,1355071,1421898,1481816,1444304,1488243,1548426
 "31001","Adams, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",30326,30542,30660,31150,31113,30612,29977,30250,30222,30237,30636,30736,30986,31203,30898,30847,30856,30501,30005,30018,29901,29639,29918,30047,30320,30508,30783,30890,31050,31054,31106,31154,31021,30716,30693,30740,30987,30910,30892,31160,31280,31328,31204,31347,31534,31396,31569,31663,31774,31511
 "31001","Adams, NE",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3605,3899,4168,4422,5126,5601,6427,6774,7377,8213,9401,9943,11211,11561,11955,13333,13533,13789,14749,16022,16839,18195,18463,18737,18830,20135,21454,22670,22493,23982,24867,25836,27430,27940,29539,29571,31177,32152,35341,36316,35983,36801,41128,43408,42972,45289,46939,45615,46838,49139
 "31003","Antelope, NE",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",25986,25625,31388,38979,45111,41047,48270,40846,49438,67231,54677,48636,71763,75858,82107,102330,102882,108399,110321,120447,120005,131934,128435,139803,145038,151899,150705,177657,171229,177909,175710,188276,185236,178309,215429,217879,218816,196867,234560,241427,244354,270596,357625,340573,346987,343428,335477,318701,296764,297671
 "31003","Antelope, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",9261,9025,8895,9003,8914,8783,9051,8966,8856,8706,8811,8666,8612,8633,8652,8549,8445,8253,8157,8099,8044,7942,7941,7879,7793,7733,7717,7639,7645,7604,7493,7435,7242,7229,7172,7063,6994,6836,6767,6704,6739,6679,6621,6550,6472,6419,6413,6343,6348,6336
 "31003","Antelope, NE",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2806,2839,3529,4330,5061,4673,5333,4556,5582,7722,6206,5612,8333,8787,9490,11970,12183,13134,13525,14872,14919,16612,16174,17744,18611,19643,19529,23257,22398,23397,23450,25323,25578,24666,30038,30848,31286,28799,34662,36012,36260,40514,54014,51996,53614,53502,52312,50245,46749,46981
 "31005","Arthur, NE",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1556,1667,2173,2281,2312,2816,2683,2952,3590,3313,4656,4668,4684,5419,5920,3915,4323,3641,4977,5342,5716,6059,5387,5233,5877,3989,5121,2136,4906,6485,7201,7995,8600,9557,11869,11942,11964,12504,12410,12180,11499,13158,17585,12298,14189,20983,25114,18596,17490,21809
 "31005","Arthur, NE",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",639,604,590,564,596,593,588,584,582,558,580,511,504,516,509,467,478,484,465,443,445,468,445,462,472,441,434,429,440,447,445,445,423,421,439,433,428,450,457,453,442,465,468,479,454,451,451,466,455,465
