GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "33000","New Hampshire",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2781338,2965678,3220121,3561963,4013324,4417159,4802304,5435993,6146446,7090723,8111862,9278182,10517049,11579731,12713183,14376311,15842444,17508758,19362138,21322166,22846665,23006508,23792304,24968214,25786710,27522349,29202817,30941453,33274001,36531618,38959643,43867246,46193558,47054387,48040657,50939756,52878762,56585684,58631306,60129016,59082536,61604587,64589687,67528805,67320412,70225194,73212417,75816667,78822059,83142609
 "33000","New Hampshire",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",724000,741932,762173,781699,801824,817073,830025,847025,871860,893974,911893,924250,936621,947720,958134,976863,996753,1025054,1054289,1082576,1104523,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1222014,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458
 "33000","New Hampshire",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3842,3997,4225,4557,5005,5406,5786,6418,7050,7932,8896,10039,11229,12219,13269,14717,15894,17081,18365,19696,20685,20682,21436,22337,22831,24088,25228,26339,27975,30293,31882,35380,36792,37077,37536,39484,40723,43248,44670,45694,44892,46784,48938,51005,50754,52673,54788,56480,58397,61294
 "33001","Belknap, NH",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",121654,130311,146018,161647,183209,202996,222578,251448,283320,327231,373615,424644,472377,515173,559567,631195,688684,777022,864840,955189,1016189,970852,982441,1008763,1075051,1137225,1243072,1310382,1412922,1553391,1643989,1786540,1973771,2019381,2073940,2203897,2269434,2398652,2513000,2605156,2556125,2630615,2791181,2957536,2990258,3137139,3310233,3412790,3531191,3727893
 "33001","Belknap, NH",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",31636,32562,33579,34397,35426,36439,36982,38138,39250,41443,42802,42914,42935,43619,44025,44704,45084,46139,47273,48526,49224,49347,49180,49626,50226,50850,51991,53020,53391,54459,55517,56473,57597,58609,59497,60170,60287,60105,60109,60239,60171,60098,60327,60434,60236,60285,60347,60700,60845,61022
 "33001","Belknap, NH",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3845,4002,4348,4699,5172,5571,6019,6593,7218,7896,8729,9895,11002,11811,12710,14119,15276,16841,18295,19684,20644,19674,19976,20327,21404,22364,23909,24715,26464,28524,29612,31635,34269,34455,34858,36628,37644,39908,41807,43247,42481,43772,46268,48938,49642,52038,54853,56224,58036,61091
 "33003","Carroll, NH",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",71118,74913,85140,96866,110933,122528,135149,156878,179463,205754,234272,267815,312308,337600,365200,422564,467707,535420,616764,692386,750156,741695,770303,806429,826583,899266,941350,1001242,1090310,1209557,1296670,1447379,1578854,1642466,1642275,1739212,1786739,1865612,1907760,1985189,1954117,2012500,2125542,2237556,2266182,2372393,2479936,2568323,2717487,2875460
 "33003","Carroll, NH",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",18029,18563,18672,20429,21229,22202,23043,23737,25371,26733,27452,28018,28302,28354,28626,29266,29484,30295,31671,34018,35134,35592,36096,36780,37400,38064,38964,39908,40781,41724,42815,43907,44200,45074,45697,46496,46652,47421,47829,48013,47763,47827,47676,47693,47520,47429,47392,47493,48109,48779
 "33003","Carroll, NH",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3945,4036,4560,4742,5226,5519,5865,6609,7074,7697,8534,9559,11035,11907,12758,14439,15863,17674,19474,20354,21351,20839,21340,21926,22101,23625,24159,25089,26736,28989,30285,32965,35721,36439,35938,37406,38299,39341,39887,41347,40913,42079,44583,46916,47689,50020,52328,54078,56486,58949
 "33005","Cheshire, NH",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",199961,212785,228333,250710,283209,308087,325642,360477,399287,453936,513545,579475,652318,699373,746699,826718,887184,966236,1067976,1164667,1282738,1300222,1349814,1423260,1462581,1552733,1623741,1708736,1773634,1938530,2040773,2209153,2207577,2292909,2347492,2483780,2610337,2873205,2924039,3074024,3027355,3104675,3236879,3342660,3357431,3473613,3652635,3696805,3784209,3975258
