GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "34000","New Jersey",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",32504175,35294519,38078118,41394930,45063192,48945152,52877698,57408891,62802139,69699071,77362778,87046739,97264551,105090396,113438476,125567163,134573708,144070388,155341299,170597669,183042974,192163514,195933413,210510235,217595981,225284514,239164930,253062255,269605875,287244012,300854626,330957156,342304134,347456776,356314862,373078596,387392659,415890939,440165578,453018872,439087868,452466405,474015532,491662022,496465021,520079392,542097272,556439938,577080564,607884477
 "34000","New Jersey",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520
 "34000","New Jersey",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4581,4909,5229,5642,6143,6673,7203,7817,8554,9475,10493,11801,13131,14142,15190,16708,17788,18902,20251,22120,23692,24754,25072,26713,27374,28110,29588,31052,32804,34660,35989,39257,40306,40626,41425,43208,44775,48015,50723,52005,50149,51419,53696,55583,56045,58655,61110,62701,64924,68236
 "34001","Atlantic, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",694634,782866,871879,964555,1081593,1173626,1283784,1421862,1575347,1779776,2069787,2386106,2735574,2921164,3177478,3586003,3831249,4099040,4343758,4747699,4945472,5065020,4796490,5394249,5662193,5805053,6268051,6682656,7028062,7337971,7562811,8017788,7486313,7777607,8097928,8650156,9127596,9991576,10445372,10738345,10519573,10708168,11210439,11488052,11647935,11885211,11993907,12102659,12397367,12917979
 "34001","Atlantic, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",174603,175908,179824,184987,187199,189113,189544,189613,189311,191121,193082,194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432,253674,255737,259263,263285,267723,270332,271759,272303,273014,274049,274649,274606,274651,274369,272656,270471,267813,266328,265429
 "34001","Atlantic, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3978,4450,4849,5214,5778,6206,6773,7499,8321,9312,10720,12264,13958,14862,15954,17687,18594,19576,20433,21834,22318,22468,20967,23290,24168,24536,26203,27597,28713,29605,30199,31607,29273,29999,30757,32310,33764,36766,38359,39333,38386,38989,40824,41828,42454,43590,44345,45191,46549,48668
 "34003","Bergen, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4928452,5295087,5627984,6064621,6556908,7082772,7588369,8179180,8904872,9877344,10914107,12252949,13771724,14816148,15950983,17752297,18994527,20201463,21877386,24079759,26062053,27027560,27144445,29331194,30001900,31473259,33510172,35667229,38337462,40483908,42007047,46312376,46293321,46400145,46181715,49549858,51346138,56071022,59824563,60199418,57826957,59876666,62978884,66120894,65959155,68775144,71995884,73523728,76069906,80509209
 "34003","Bergen, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",893713,896575,893789,884746,879576,873773,871592,865559,859951,855004,851298,845904,846358,844419,845965,845834,842541,840309,835367,831343,826527,826129,829599,837520,843198,848392,855242,862048,868897,875050,880225,885180,888782,890647,892214,893378,891446,889406,890817,895328,900319,906341,912033,916408,920203,923757,926997,928979,933569,936692
 "34003","Bergen, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5515,5906,6297,6855,7455,8106,8706,9450,10355,11552,12821,14485,16272,17546,18855,20988,22544,24041,26189,28965,31532,32716,32720,35021,35581,37098,39182,41375,44122,46265,47723,52320,52086,52097,51761,55463,57599,63043,67157,67237,64229,66064,69053,72152,71679,74452,77666,79145,81483,85951
 "34005","Burlington, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1340421,1466500,1617126,1799769,1949664,2134897,2327024,2615903,2859966,3200518,3612206,4087508,4540511,4903173,5310046,5789515,6274642,6730518,7239576,7848785,8430114,8882823,9127037,9874209,10085099,10534177,10997815,11604081,12348144,13136202,13898792,15208062,15760530,16349555,17122033,17967859,18570192,19821397,20599347,21410177,21301829,21734714,22514634,23024363,23170672,24096303,25144899,25785992,26439912,27667447
 "34005","Burlington, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",313161,325960,337155,347701,340323,336667,344486,353281,357501,358762,361911,363614,367206,370609,371608,374539,376097,377941,383434,390535,392760,396180,399888,400773,402717,407060,411890,415266,417226,418250,420542,424453,429727,436445,442434,446548,447245,448373,447560,446831,447391,449124,450149,450517,448850,448224,446923,446108,445196,445384
 "34005","Burlington, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4280,4499,4796,5176,5729,6341,6755,7405,8000,8921,9981,11241,12365,13230,14289,15458,16684,17808,18881,20098,21464,22421,22824,24638,25043,25879,26701,27944,29596,31408,33050,35830,36676,37461,38700,40237,41521,44207,46026,47916,47613,48394,50016,51107,51622,53760,56262,57802,59389,62120
 "34007","Camden, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1846708,1996993,2177560,2367996,2580881,2808838,3030742,3266970,3547426,3947138,4351717,4896857,5434769,5831131,6317964,6924643,7436775,7936261,8518990,9284295,9963870,10390069,10643111,11313127,11673594,11895268,12393038,12944201,13573035,14142926,14687669,15317962,16124583,16671879,17481147,18024986,18675603,19812519,20496153,21223566,21135324,21485955,22454810,22820973,23076086,23853545,24826318,25436770,26254721,27434409
 "34007","Camden, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",451124,458608,468196,472064,471847,472958,474108,472660,471600,470382,473135,472790,476443,479026,479393,485106,487400,492957,496902,499896,501857,503524,505772,507326,508094,508479,509582,508926,509219,509451,509410,506707,506326,507899,508563,510137,511982,513195,513546,513853,513668,513460,512726,511769,510128,508554,507784,507075,506343,507078
 "34007","Camden, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4094,4354,4651,5016,5470,5939,6393,6912,7522,8391,9198,10357,11407,12173,13179,14274,15258,16099,17144,18572,19854,20635,21043,22300,22975,23394,24320,25434,26655,27761,28833,30230,31846,32825,34374,35334,36477,38606,39911,41303,41146,41845,43795,44592,45236,46905,48891,50164,51852,54103
 "34009","Cape May, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",231777,261323,292415,333999,393430,441926,503624,568484,631487,710744,790161,915302,1037390,1122061,1215357,1335103,1438733,1549740,1655731,1805903,1943603,2040511,2090885,2240070,2346534,2417588,2553398,2674570,2888597,3045738,3166291,3382880,3619625,3737561,3798311,3994672,4082240,4173562,4190532,4191565,4205243,4344431,4528802,4693248,4733433,4885943,5095369,5245523,5402435,5634744
 "34009","Cape May, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",58999,60259,63485,66321,68194,71929,74014,76838,78248,79862,81725,82754,84550,85104,85665,87092,88647,90130,92038,92961,94830,95368,97006,98121,98504,99561,100405,100861,101380,101883,102135,102314,102023,101694,101710,100482,99269,98695,97686,97550,97238,97221,96490,96230,95506,94923,94180,93679,93184,92560
 "34009","Cape May, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3928,4337,4606,5036,5769,6144,6804,7398,8070,8900,9669,11061,12270,13185,14187,15330,16230,17194,17990,19426,20496,21396,21554,22830,23822,24282,25431,26517,28493,29894,31001,33064,35479,36753,37345,39755,41123,42287,42898,42968,43247,44686,46935,48771,49562,51473,54102,55995,57976,60877
 "34011","Cumberland, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",445540,484498,525214,577162,639905,693446,741572,814288,883666,974644,1053511,1159936,1286517,1388387,1482063,1591639,1692975,1809164,1929349,2108069,2310681,2471644,2554847,2740973,2817022,2879171,2961425,3036571,3193119,3270022,3359266,3487825,3707495,3916055,4053908,4171945,4321880,4542274,4692950,4920951,5084341,5248781,5390192,5364308,5378958,5538799,5712053,5753050,5861990,6082463
 "34011","Cumberland, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",120722,122309,126773,129031,130746,133306,134350,135359,135184,134615,133966,133088,133726,133494,132497,134138,135083,135700,135995,136569,137881,138366,140503,141921,143334,144544,144829,145430,145811,145924,146293,146263,146451,147294,148437,149837,152022,153371,154489,155738,156531,156704,157045,156941,156120,156086,154838,153355,151748,150972
 "34011","Cumberland, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3691,3961,4143,4473,4894,5202,5520,6016,6537,7240,7864,8716,9621,10400,11186,11866,12533,13332,14187,15436,16759,17863,18184,19313,19654,19919,20448,20880,21899,22409,22963,23846,25316,26587,27311,27843,28429,29616,30377,31598,32481,33495,34323,34180,34454,35486,36891,37515,38630,40289
 "34013","Essex, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4302229,4656754,4922052,5224304,5522074,5897214,6299425,6692308,7163187,7747448,8400335,9330734,10296215,11006225,11779463,12861789,13557500,14297332,15323120,16698123,17695920,18743120,19091900,20523449,21065121,21725074,22978366,23988246,25119224,26660761,27860938,30872895,31749150,31390499,32332036,34016061,35158419,37645597,39730405,40508763,39807171,40729430,42595367,43221035,43901800,46130978,48091245,49342951,51122668,53951104
 "34013","Essex, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",925274,933179,943413,935175,923206,914528,905741,897539,879368,868386,858841,849376,839991,831087,827316,822219,820168,815669,809714,799975,789566,778564,779031,782855,785960,784460,783308,782503,782774,785348,789678,792253,794312,795625,795167,791305,786341,781027,778996,778165,781943,784062,785531,785137,786817,788975,790508,792617,795908,799767
 "34013","Essex, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4650,4990,5217,5586,5981,6448,6955,7456,8146,8922,9781,10985,12258,13243,14238,15643,16530,17528,18924,20873,22412,24074,24507,26216,26802,27694,29335,30656,32090,33948,35281,38968,39971,39454,40661,42987,44711,48200,51002,52057,50908,51947,54225,55049,55797,58470,60836,62253,64232,67459
 "34015","Gloucester, NJ",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",655500,697223,762053,839356,929579,1034180,1138833,1256379,1387088,1559990,1750865,1981483,2207063,2398010,2596360,2859044,3080209,3293894,3551260,3919818,4229608,4457359,4613992,4889056,5064451,5294997,5480976,5738013,6266370,6535697,6832035,7333591,7881389,8312407,8697272,9404629,9927469,10664992,11223222,11916437,11960103,12222600,12676563,13015736,13298191,13768742,14443867,14749373,15256487,15953147
 "34015","Gloucester, NJ",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",170093,173501,176037,179563,180996,183893,182895,185121,187444,192708,196728,200507,202485,204856,204814,206380,208935,211362,214460,220182,226473,231134,234449,236553,238805,242161,243752,245390,247674,249996,252536,256524,258783,262909,267445,271714,275122,280015,284086,286072,287362,288960,289478,289627,289720,290530,290823,290647,290850,291408
 "34015","Gloucester, NJ",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3854,4019,4329,4674,5136,5624,6227,6787,7400,8095,8900,9882,10900,11706,12677,13853,14742,15584,16559,17803,18676,19285,19680,20668,21207,21866,22486,23383,25301,26143,27054,28588,30456,31617,32520,34612,36084,38087,39506,41655,41620,42299,43791,44940,45900,47392,49665,50747,52455,54745
