GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "35000","New Mexico",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3143665,3499776,3872418,4353346,4881806,5487270,6267941,6987390,7819801,8947791,10088442,11323005,12799913,14023076,15086136,16471117,17823521,18525003,19308662,20401935,21855372,23301334,24937116,26802835,28827111,30772294,33070567,34741257,36519967,38361236,39275945,42319547,45312296,47089957,49197210,52264441,55838253,59946316,63418444,67242106,66661843,69250210,72820347,74578427,73412311,77722256,79973393,81252406,82733030,87188845
 "35000","New Mexico",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",1011000,1023206,1053258,1077815,1104225,1129568,1162682,1195162,1225245,1251848,1280539,1309400,1332747,1363822,1394362,1416719,1438360,1462728,1478519,1490336,1503901,1521574,1555305,1595442,1636453,1682398,1720394,1752326,1774839,1793484,1808082,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428
 "35000","New Mexico",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3109,3420,3677,4039,4421,4858,5391,5846,6382,7148,7878,8647,9604,10282,10819,11626,12392,12665,13059,13689,14532,15314,16034,16800,17616,18291,19223,19826,20576,21389,21722,23237,24738,25381,26203,27453,28898,30552,31867,33443,32729,33542,35003,35725,35079,37182,38261,38825,39521,41609
 "35001","Bernalillo, NM",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1101346,1252045,1412096,1618026,1797768,2010334,2261502,2536990,2815941,3245820,3663322,4107405,4601586,5038034,5500596,6061006,6626701,7030704,7419445,7843596,8270225,8824492,9415060,10066307,10810437,11668392,12506654,13098076,13694667,14274985,14581725,15690423,16404232,17017998,17812026,18873340,20047147,21630584,22426229,23340588,23202585,23595360,24626317,24929751,24554918,26097903,27109332,28117016,28580510,29901472
 "35001","Bernalillo, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",314700,318277,331206,339666,353816,365412,371719,380717,392444,399597,410992,422295,430023,433469,441597,447307,452555,459938,468550,472977,478795,482696,492880,505395,515914,528842,538615,544201,547997,551298,553002,557601,564241,576532,587049,600449,615320,628632,638978,646879,655279,663948,670278,673697,676497,676229,676678,678165,678686,678701
 "35001","Bernalillo, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3500,3934,4263,4764,5081,5502,6084,6664,7175,8123,8913,9726,10701,11623,12456,13550,14643,15286,15835,16583,17273,18282,19102,19918,20954,22064,23220,24068,24990,25893,26368,28139,29073,29518,30342,31432,32580,34409,35097,36082,35409,35538,36740,37004,36297,38593,40062,41460,42112,44057
 "35003","Catron, NM",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5823,5911,7022,7849,9415,11442,12441,13352,14782,17035,20242,20825,19599,20103,21676,23007,25039,25695,27857,30723,32472,32242,33820,35152,37958,39847,42729,46378,47895,51808,53447,58241,68545,71377,72184,75334,80181,87200,88674,90693,92376,96349,103842,103001,99161,105529,108357,105462,109646,114532
 "35003","Catron, NM",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",2200,2179,2082,2251,2363,2441,2357,2457,2576,2712,2745,2715,2694,2666,2731,2750,2594,2579,2617,2619,2566,2580,2575,2585,2704,2808,2897,2987,3186,3274,3413,3567,3488,3501,3456,3468,3425,3573,3638,3631,3689,3750,3719,3638,3589,3550,3480,3522,3567,3578
 "35003","Catron, NM",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2647,2713,3373,3487,3984,4687,5278,5434,5738,6281,7374,7670,7275,7541,7937,8366,9653,9963,10645,11731,12655,12497,13134,13598,14038,14191,14749,15527,15033,15824,15660,16328,19652,20388,20887,21723,23411,24405,24374,24977,25041,25693,27922,28313,27629,29726,31137,29944,30739,32010
 "35005","Chaves, NM",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",129300,139749,157214,169933,190713,214284,246019,270504,298828,324196,377538,419563,479510,551269,604274,640461,677908,655134,674495,741847,801413,841150,848762,904184,942875,1009383,1047698,1106668,1118644,1218251,1198171,1220064,1353773,1343992,1368993,1478658,1576924,1672304,1824032,2032167,1853086,2081106,2282507,2318535,2287104,2492654,2400975,2393536,2483493,2608405
