GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "32000","Nevada",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2278607,2560413,2860381,3196764,3630058,4025238,4543971,5170461,5977935,7225731,8374582,9682781,11011840,11762109,12530021,13652075,14799444,15988531,17473700,19842874,22352474,25043313,27515308,30479309,32966024,36485543,40138314,44435100,48572668,54281274,58607267,64339627,67862421,69626704,74202223,82501218,92671063,100383713,104564619,102785548,96858597,100605772,104579440,108825145,109055072,116945295,126408020,131294012,139448526,149218639
 "32000","Nevada",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702464,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392
 "32000","Nevada",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4747,5191,5501,5847,6381,6746,7331,7994,8815,10045,10945,11951,12991,13343,13892,14760,15561,16305,17075,18458,19653,20516,21228,22554,23360,24335,25379,26667,27534,29291,30292,31871,32340,32030,32996,35163,38103,39793,40201,38734,36078,37227,38550,39651,39271,41484,44065,44967,46914,49176
 "32001","Churchill, NV",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",35207,42626,49544,59327,69620,70875,69722,77803,86389,100700,112413,133087,146184,153809,164634,182732,202985,216829,241240,264849,284601,291135,320590,354347,389331,420802,439616,487225,526173,579157,592713,628580,607336,619825,655052,710639,757744,771769,784661,809594,791472,828714,864902,859930,864223,906700,941068,946082,998169,1067074
 "32001","Churchill, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",10498,10635,11157,11625,11850,11924,11987,11960,12131,12771,13571,13917,13896,14178,14319,14397,15029,15717,16425,16990,17555,18039,18637,18963,19723,20519,21197,21960,23179,23503,23859,24024,24342,24155,24026,24226,24593,24842,24961,25049,25067,24819,24591,24243,23923,23819,23934,23869,23989,24440
 "32001","Churchill, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3354,4008,4441,5103,5875,5944,5816,6505,7121,7885,8283,9563,10520,10848,11498,12692,13506,13796,14687,15589,16212,16139,17202,18686,19740,20508,20740,22187,22700,24642,24842,26165,24950,25660,27264,29334,30811,31067,31435,32320,31574,33390,35171,35471,36125,38066,39319,39636,41609,43661
 "32003","Clark, NV",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1273648,1429017,1582762,1747451,1984224,2221573,2515704,2863774,3296192,3959777,4631857,5359706,6162457,6629060,7092525,7685375,8375859,9142842,10067109,11504022,13196124,15093525,16727113,18671191,20550154,23043214,25587458,28648985,31677828,35924832,39170953,43188732,46261651,48064541,51344816,57475013,65442479,71249678,74654336,73300585,67626061,69601904,72471475,77423058,77291506,83258481,89737220,93269102,98439211,105087856
 "32003","Clark, NV",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",267479,276079,293008,307426,319399,336930,351339,369529,389965,412913,441358,469185,492747,513708,530195,544893,561081,580775,611763,647410,691467,756170,816085,857357,902338,972624,1035847,1099894,1177230,1251258,1321254,1393909,1460500,1522962,1584166,1662773,1729522,1803774,1867817,1912349,1939407,1952644,1962010,1989693,2018003,2054263,2098105,2140547,2183310,2231647
 "32003","Clark, NV",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4762,5176,5402,5684,6212,6594,7160,7750,8453,9590,10495,11423,12506,12904,13377,14104,14928,15742,16456,17769,19084,19960,20497,21778,22774,23692,24702,26047,26909,28711,29647,30984,31675,31560,32411,34566,37838,39500,39969,38330,34869,35645,36937,38912,38301,40530,42771,43573,45087,47090
 "32005","Douglas, NV",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",44246,52296,61364,73219,89008,105053,116560,137505,164116,211014,242235,281823,311204,328741,349983,402207,440139,469776,492750,572003,626363,689553,803080,892533,961810,1051657,1149912,1265032,1413486,1545852,1618200,1722642,1766154,1769831,1911774,2207382,2414570,2581659,2642124,2494815,2332983,2388110,2471910,2580969,2604480,2761445,3121448,3132193,3367422,3642708
