GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "36000","New York",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",83626257,89895425,96121001,102833594,109571703,118064617,127413860,134980837,145640377,158583699,173361931,193258499,215680555,234418022,252683225,279483612,299163538,319479383,340642807,373665398,403909989,432317759,432542636,457271416,470053879,484730601,510818279,537881580,567955826,600601092,635835163,684590057,709767275,708251729,718318685,751244750,782613026,844018820,909175226,928501934,912779049,950069105,1004130275,1056671153,1069556538,1115352192,1162801418,1202568500,1286022822,1341931964
 "36000","New York",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",18105000,18271605,18364865,18351767,18194767,18072768,18032254,17974654,17851507,17720421,17633646,17566754,17567731,17589737,17686907,17745676,17791678,17833421,17868844,17941309,17983084,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209
 "36000","New York",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4619,4920,5234,5603,6022,6533,7066,7510,8158,8949,9831,11001,12277,13327,14286,15749,16815,17915,19064,20827,22461,23990,23868,25061,25581,26259,27576,28936,30443,32022,33673,36028,37194,37008,37459,39185,40905,44179,47520,48328,47277,48972,51498,53982,54491,56743,59141,61226,65644,68668
 "36001","Albany, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",1222715,1384440,1530814,1657409,1783091,1920264,2067910,2184206,2346577,2541905,2768962,3067706,3374032,3682421,3995947,4427174,4768034,5134923,5422099,5905504,6544910,6939250,7101271,7471768,7662791,7860762,8092381,8321933,8738983,9177899,9831349,10577038,10567541,10517284,10945394,11296942,11562461,12088231,12537212,13265189,13493293,14157914,14747584,15344326,15580519,16524036,17118319,17134394,18287445,18795747
 "36001","Albany, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",286201,287151,288612,290300,289750,289146,287863,286517,286155,286922,286969,286173,286690,287159,287780,288450,289760,291010,290843,291094,292202,292956,295530,296913,298592,300262,299725,297680,296187,295097,294692,295106,296232,298283,301085,302173,302791,303997,303858,303739,304733,304078,304564,305717,306613,307190,307476,307628,307717,307117
 "36001","Albany, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4272,4821,5304,5709,6154,6641,7184,7623,8200,8859,9649,10720,11769,12824,13885,15348,16455,17645,18643,20287,22399,23687,24029,25165,25663,26180,26999,27956,29505,31101,33361,35841,35673,35259,36353,37386,38186,39764,41260,43673,44279,46560,48422,50191,50815,53791,55674,55698,59429,61201
 "36003","Allegany, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",135581,149905,164561,175435,192517,212798,232194,249323,266077,289529,325506,361725,391812,422777,434797,469400,492303,515843,549430,601875,644040,687619,714652,765084,784419,796408,835130,877524,885779,919726,952842,991874,1011273,1032662,1067080,1124678,1152005,1185353,1228288,1354165,1342065,1381290,1412224,1446550,1436920,1501709,1531798,1528569,1593770,1619460
 "36003","Allegany, NY",2,CAINC1,2,"...","Population (persons) 1/","Number of persons",46301,46729,48061,49963,50253,50538,51450,51858,52155,52209,52348,51785,51861,51640,51354,51070,50723,50060,49768,49835,50166,50522,50935,50967,50807,51012,51251,50869,50325,49991,49997,49819,50079,50014,50165,50311,49768,49359,49079,49177,48969,48962,48787,48201,47892,47646,47324,47039,46688,46430
 "36003","Allegany, NY",2,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2928,3208,3424,3511,3831,4211,4513,4808,5102,5546,6218,6985,7555,8187,8467,9191,9706,10304,11040,12077,12838,13610,14031,15011,15439,15612,16295,17251,17601,18398,19058,19910,20194,20647,21271,22355,23148,24015,25027,27537,27406,28211,28947,30011,30003,31518,32368,32496,34137,34880
 "36005","Bronx, NY",2,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5313763,5657441,5908732,6182516,6381338,6760973,7242870,7401039,7680066,8077084,8585673,9495519,10547807,11439640,12208651,13305682,14035459,14825827,15425540,16445220,17574568,18881470,19195347,19716168,20244960,20961426,21736830,22438520,23082115,23877655,25010575,26847363,29171337,29919976,30987808,32766191,33179897,35440537,38269618,38564860,39671252,41480918,42683680,43102517,43833853,45551104,47693978,48735257,52292355,53527813
