GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "39000","Ohio",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",41801043,44141934,46980368,50967906,56552390,61925206,66162182,72597505,80397208,88854711,98136026,107184471,116652387,122081467,129132533,142661132,151425559,158492982,166090329,178267540,191708347,202979644,207676873,221201352,230366365,243306753,255101076,267147166,282808993,299234149,309198719,325803018,334533571,339645273,349608853,362916264,373440521,392156623,408493748,421412058,409648029,422046231,451011097,469260760,475776292,496069286,515138454,524043732,544140701,569726734
 "39000","Ohio",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442
 "39000","Ohio",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3957,4137,4376,4743,5252,5752,6143,6752,7464,8231,9088,9924,10813,11349,12026,13286,14106,14771,15436,16508,17703,18683,18973,20056,20752,21816,22771,23762,25078,26454,27277,28671,29378,29773,30574,31690,32577,34156,35520,36596,35532,36575,39071,40634,41098,42754,44340,45040,46651,48739
 "39001","Adams, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",45225,49973,51099,56146,63533,73512,79229,86153,99251,111124,125522,141836,164042,178502,171556,201014,220197,221146,232833,250490,272481,290571,301138,338085,350211,374674,389745,418699,454108,498786,518881,560952,597067,585942,606698,641488,638890,656711,695328,709173,721710,739188,799437,795223,808814,849675,885146,895400,927107,960129
 "39001","Adams, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",18895,19117,19870,20687,21847,22525,22247,23178,23546,23933,23977,24351,24388,24459,24111,23861,24118,24306,24688,24887,25206,25411,25731,26044,26299,26550,26823,27273,27291,27422,27422,27317,27522,27817,28111,28328,28522,28615,28538,28686,28500,28554,28473,28309,28107,28085,27946,27828,27805,27724
 "39001","Adams, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2393,2614,2572,2714,2908,3264,3561,3717,4215,4643,5235,5825,6726,7298,7115,8424,9130,9098,9431,10065,10810,11435,11703,12981,13317,14112,14530,15352,16639,18189,18922,20535,21694,21064,21582,22645,22400,22950,24365,24722,25323,25887,28077,28091,28776,30254,31673,32176,33343,34632
 "39003","Allen, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",415181,439385,465872,489289,554243,607835,647153,699455,775298,861705,953492,1034998,1098158,1147388,1223736,1385983,1466696,1548122,1585393,1667335,1750403,1815379,1852229,1979850,1994037,2113276,2167849,2224976,2296398,2441097,2563540,2692586,2735709,2793285,2874538,2939930,3009436,3158160,3309826,3390160,3393604,3484154,3629568,3744061,3728675,3859718,3992052,4054018,4196097,4395648
 "39003","Allen, OH",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",110340,111084,111437,110643,110245,110637,110806,109853,110465,109828,111247,112188,111726,109826,108936,109642,109601,109755,110123,110518,110270,109841,109916,110242,110262,110138,109841,109573,109150,108599,108192,108589,108523,108518,107418,106826,106861,106716,106717,106773,106518,106359,105976,105239,105047,104846,104069,103561,103069,102663
 "39003","Allen, OH",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3763,3955,4181,4422,5027,5494,5840,6367,7018,7846,8571,9226,9829,10447,11234,12641,13382,14105,14397,15087,15874,16527,16851,17959,18085,19188,19736,20306,21039,22478,23694,24796,25209,25740,26760,27521,28162,29594,31015,31751,31859,32758,34249,35577,35495,36813,38360,39146,40712,42816
 "39005","Ashland, OH",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",146389,157435,173752,186965,208863,231357,248503,275982,303472,339832,379848,413764,449825,459780,488702,543723,563664,593053,620944,650278,695493,729243,749640,818186,859384,918978,947546,982063,1052679,1117741,1142986,1200549,1254142,1274132,1315070,1358274,1402714,1436232,1515983,1568399,1522357,1564638,1667188,1693962,1756554,1828015,1888093,1902932,1984306,2066018
