GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "41000","Oregon",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7832186,8537112,9382814,10511429,11845440,13431788,14919665,16821714,18812438,21563442,24392255,27030379,29169608,30006197,31906148,34585003,36320768,38221702,40194469,43775754,48095052,51940747,54674252,58477046,62590764,67029794,72165942,77845034,82657354,87373658,90929556,97954596,100698408,101954322,105567714,111503067,117413583,128145413,134019593,139695875,135132196,138618043,146432157,154408518,156977053,168408760,181491700,190240952,200579203,213070136
 "41000","Oregon",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713
 "41000","Oregon",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3798,4065,4364,4788,5291,5889,6418,7091,7712,8592,9461,10234,10933,11260,12026,12970,13590,14243,14881,15969,17235,18159,18670,19546,20452,21475,22663,23974,25015,26063,26792,28561,29037,29019,29759,31238,32496,34909,36003,37067,35481,36122,37821,39601,40015,42483,45182,46498,48372,50843
 "41001","Baker, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",49098,55129,62304,71145,74242,78192,86523,95439,104014,113483,137942,145139,155084,156948,166410,169145,169949,171521,177116,192426,210460,223690,232428,243913,264384,274267,288404,297374,323254,333974,328261,348668,346664,348911,361918,374503,387215,401372,420581,445401,459570,468565,492141,515138,528413,561476,597591,611098,614487,651434
 "41001","Baker, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",15219,15070,15721,15612,15491,15206,15748,15463,15799,15712,16121,16153,16198,16377,16255,16118,15731,15426,15130,14994,14890,15433,15581,15847,16172,16418,16691,16652,16746,16841,16755,16714,16618,16376,16312,16272,16086,16094,16139,16195,16225,16108,16058,15990,16015,16012,15873,15951,16079,16006
 "41001","Baker, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3226,3658,3963,4557,4793,5142,5494,6172,6584,7223,8557,8985,9574,9583,10237,10494,10803,11119,11706,12834,14134,14494,14917,15392,16348,16705,17279,17858,19303,19831,19592,20861,20861,21306,22187,23015,24072,24939,26060,27502,28325,29089,30648,32216,32995,35066,37648,38311,38217,40699
 "41003","Benton, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",171727,183578,205429,232456,263806,299249,338181,389271,446823,514888,569961,629806,706844,745397,798385,858862,888296,937245,990373,1063347,1170796,1226515,1279973,1368381,1479727,1591629,1744720,1929118,2074710,2172426,2192536,2301520,2389619,2430572,2567983,2620947,2682076,2816700,2933737,3096559,2973188,3085491,3271409,3319288,3322077,3521921,3714135,3914857,4076498,4330505
 "41003","Benton, OR",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",51491,53943,54929,60135,59313,61230,61618,62299,65569,66955,68171,68471,69369,69461,68245,67474,67275,66940,67590,67876,69879,71059,71507,72618,73997,75481,76517,77776,78560,78943,78254,78236,78491,80203,80322,80149,80943,81957,83718,84150,85390,85574,86260,86675,86168,87221,88270,89743,91567,92101
 "41003","Benton, OR",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3335,3403,3740,3866,4448,4887,5488,6248,6815,7690,8361,9198,10190,10731,11699,12729,13204,14001,14653,15666,16755,17261,17900,18844,19997,21086,22802,24804,26409,27519,28018,29418,30444,30305,31971,32701,33135,34368,35043,36798,34819,36056,37925,38296,38553,40379,42077,43623,44519,47019
 "41005","Clackamas, OR",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",671450,717676,803901,922265,1043553,1187847,1337667,1539362,1739043,2064820,2423548,2796972,3061214,3181474,3371600,3683332,3884143,4104988,4357855,4766511,5337075,5882077,6218762,6702887,7251025,7826841,8498848,9367638,10106731,10856558,11326218,12463557,12311787,12167195,12520768,13394898,14042597,15199133,15902079,16445149,15555115,15953002,16881632,18066635,18102423,19050533,20464648,21876119,22902625,24385155
