GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "44000","Rhode Island",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",3741845,4092971,4336596,4721967,5044554,5288914,5742437,6272443,6864937,7531162,8363201,9390625,10463764,11271042,12185400,13381333,14413759,15452702,16547232,18239253,19852498,20438053,20636099,21597148,22514761,23090962,24324255,25172140,26633794,28410408,29751387,32048854,33733623,35133397,36973990,38907815,39747476,41711703,43394632,44051491,42952560,45261024,47066997,48810328,48772692,50863477,52864975,53425535,55337496,57993810
 "44000","Rhode Island",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053938,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315
 "44000","Rhode Island",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4015,4306,4499,4836,5158,5547,6068,6600,7187,7868,8742,9898,10980,11812,12741,13911,14876,15811,16721,18305,19839,20316,20419,21329,22180,22728,23918,24657,25975,27552,28596,30515,31910,32958,34512,36207,37220,39236,41042,41755,40766,42945,44675,46283,46225,48165,50053,50541,52379,54850
 "44001","Bristol, RI",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",203937,215661,229064,244765,262957,277149,299661,331671,365794,399351,446704,501201,563866,613571,665123,742302,795794,849732,907528,1027689,1138026,1152312,1160600,1241825,1297103,1346875,1471163,1532827,1596350,1708743,1861470,2002066,2128483,2204012,2316770,2485360,2551784,2754800,2913620,2921066,2741599,2994653,3033250,3236968,3159208,3258323,3429753,3530577,3632925,3833782
 "44001","Bristol, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",44870,45880,46264,46702,46849,46692,46707,47176,47761,47734,46845,46827,46258,46487,47279,47374,47630,48201,48456,49269,48866,48915,49130,49310,49604,49656,49750,49868,50028,50328,50466,50697,50942,51850,51658,52213,51667,50996,50914,50668,50075,49817,49227,49267,49249,49073,49115,48863,48800,48649
 "44001","Bristol, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4545,4701,4951,5241,5613,5936,6416,7031,7659,8366,9536,10703,12190,13199,14068,15669,16708,17629,18729,20859,23289,23557,23623,25184,26149,27124,29571,30738,31909,33952,36886,39491,41782,42507,44848,47600,49389,54020,57226,57651,54750,60113,61618,65703,64148,66397,69831,72255,74445,78805
 "44003","Kent, RI",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",566542,609950,650015,717213,785179,844190,936525,1030148,1132012,1245347,1407648,1613135,1786980,1908675,2056201,2247508,2386997,2569651,2774009,3048164,3296703,3403163,3453607,3619528,3788045,3893493,4100775,4270663,4502561,4747467,5014723,5345918,5667278,5947638,6286100,6592764,6713994,7031324,7287331,7448043,7317876,7506894,7895683,8128892,8190244,8530671,8869809,8917773,9310038,9776691
 "44003","Kent, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",138921,142590,144814,147335,149030,149482,149975,151903,154484,154250,154280,154219,154084,153908,153901,154905,156019,157306,159908,160284,160283,161463,162230,163076,163967,164223,164106,164373,164505,164932,166044,167516,168516,169478,170641,170539,169815,168522,167515,167269,166766,166031,165261,164629,164367,164503,163750,163651,163541,163861
 "44003","Kent, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4078,4278,4489,4868,5269,5647,6245,6782,7328,8074,9124,10460,11597,12401,13361,14509,15299,16335,17348,19017,20568,21077,21288,22195,23102,23709,24989,25982,27370,28784,30201,31913,33631,35094,36838,38658,39537,41723,43503,44527,43881,45214,47777,49377,49829,51857,54167,54493,56928,59665
 "44005","Newport, RI",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",416524,479004,505180,545234,535659,482963,504086,554621,618699,686855,776615,895931,1046886,1153788,1231863,1371415,1505443,1623004,1716393,1858405,1969063,1952391,1969577,2067128,2155611,2204270,2354236,2442931,2578657,2782417,2970434,3200865,3270774,3374152,3568192,3803833,3851353,4108619,4107554,4141759,3987818,4072699,4422105,4718664,4733822,4903031,5039185,5146833,5402144,5668939
 "44005","Newport, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",92091,94619,96934,97676,98693,80408,79561,82139,82911,82362,82132,81653,82543,83293,83445,84303,85347,86239,87056,87577,86278,87527,88330,87141,86007,84756,83717,84226,84649,84438,84840,85734,85754,85953,85646,85509,83962,85130,82881,82505,82896,83175,83199,83202,83452,83350,83268,83197,83018,82542
 "44005","Newport, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4523,5062,5212,5582,5428,6006,6336,6752,7462,8339,9456,10972,12683,13852,14763,16268,17639,18820,19716,21220,22822,22306,22298,23722,25063,26007,28121,29004,30463,32952,35012,37335,38141,39256,41662,44485,45870,48263,49560,50200,48106,48965,53151,56713,56725,58825,60518,61863,65072,68679
 "44007","Providence, RI",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2243321,2450215,2592947,2814894,3033136,3247120,3511031,3791030,4100500,4473969,4900449,5416949,5985977,6410826,6925713,7590926,8132345,8677689,9307701,10225377,11200747,11566726,11631159,12093089,12545728,12762090,13328671,13691820,14530766,15481876,15943392,17234115,17979376,18734628,19703318,20579981,21061312,22048280,23103567,23491526,22932626,24416795,25092981,25809697,25827687,27043289,28186772,28316517,29303129,30619055
 "44007","Providence, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",573222,581601,588615,594065,589752,590626,586255,582894,581645,581742,580551,572480,575645,575016,576380,577638,580396,583355,589309,591621,596769,597701,599545,600603,602178,602728,603282,605077,607458,611251,616607,622378,626935,632252,636149,638358,635060,631691,629110,627889,626304,627814,629324,631212,631621,632737,633856,635230,634758,636084
 "44007","Providence, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3914,4213,4405,4738,5143,5498,5989,6504,7050,7691,8441,9462,10399,11149,12016,13141,14012,14875,15794,17284,18769,19352,19400,20135,20834,21174,22094,22628,23921,25328,25857,27691,28678,29632,30973,32239,33164,34904,36724,37414,36616,38892,39873,40889,40891,42740,44469,44577,46164,48137
 "44009","Washington, RI",1,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",311521,338141,359390,399861,427623,437492,491134,564973,647932,725640,831785,963409,1080055,1184182,1306500,1429182,1593180,1732626,1841601,2079618,2247959,2363461,2421156,2575578,2728274,2884234,3069410,3233899,3425460,3689905,3961368,4265890,4687712,4872967,5099610,5445877,5569033,5768680,5982560,6049097,5972641,6269983,6622978,6916107,6861731,7128163,7339456,7513835,7689260,8095343
 "44009","Washington, RI",1,CAINC1,2,"...","Population (persons) 1/","Number of persons",82896,85871,87347,90587,93686,86295,83841,86209,88327,91149,92835,93594,94482,95466,95377,97675,99564,102239,104876,107656,108470,110389,111414,112451,113356,114597,116147,117349,118713,120206,122445,123943,124995,126462,127248,127960,127412,126757,126895,126672,127605,127101,126525,126291,126433,126354,126184,126122,126369,126179
 "44009","Washington, RI",1,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3758,3938,4115,4414,4564,5070,5858,6554,7336,7961,8960,10293,11431,12404,13698,14632,16002,16947,17560,19317,20724,21410,21731,22904,24068,25168,26427,27558,28855,30697,32352,34418,37503,38533,40076,42559,43709,45510,47146,47754,46806,49331,52345,54763,54272,56414,58165,59576,60848,64158
"Note: See the included footnote file."
"Last updated: November 14, 2019-- new statistics for 2018; revised statistics for 1969-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
