GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "45000","South Carolina",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7604376,8380439,9180919,10308853,11692290,13234649,14394289,16096281,17592494,19879133,22283472,24966939,28120355,29894431,32447264,36183178,38709682,41372177,44371556,48237217,52509247,56399794,58892827,62693521,65907989,69909223,74092106,78791906,83865349,89936146,94554173,101217425,104660767,107536385,111169886,117509600,124566561,134622602,143383709,149285850,145622107,150462929,159187413,167797548,170227163,181483030,193225799,200333267,211298966,222188816
 "45000","South Carolina",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635656,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127
 "45000","South Carolina",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2959,3225,3449,3792,4213,4655,4963,5472,5886,6537,7219,7965,8845,9320,10033,11059,11719,12377,13126,14137,15190,16109,16495,17316,17991,18867,19765,20755,21728,22947,23789,25152,25747,26179,26786,27906,29171,30892,32264,32962,31727,32458,34077,35572,35731,37622,39496,40404,42081,43702
 "45001","Abbeville, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",54575,57765,63150,70314,80886,86995,90431,102925,112038,124473,136867,150691,168634,176378,192727,209445,222374,233544,250576,267226,288910,306001,324226,356325,371321,398241,426752,453433,495809,532227,573126,616311,610917,566451,535570,570775,581831,604575,626080,660925,658355,674231,694361,689879,702488,732912,771377,785628,808932,837043
 "45001","Abbeville, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",20596,21141,21506,21544,21623,21860,22061,22245,22637,22933,22873,22674,22790,22964,22923,22980,22963,22831,23015,23300,23643,23958,24157,24352,24487,24680,24941,25074,25308,25670,25921,26229,26330,26311,26306,26235,25995,25821,25745,25699,25614,25310,25060,25000,24880,24775,24775,24633,24560,24541
 "45001","Abbeville, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2650,2732,2936,3264,3741,3980,4099,4627,4949,5428,5984,6646,7399,7681,8408,9114,9684,10229,10888,11469,12220,12772,13422,14632,15164,16136,17110,18084,19591,20733,22110,23497,23202,21529,20359,21756,22382,23414,24319,25718,25703,26639,27708,27595,28235,29583,31135,31893,32937,34108
 "45003","Aiken, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",320434,330577,357781,392372,436225,482736,516641,587551,648793,724218,805509,905550,1010494,1083885,1179764,1343095,1476865,1573615,1645562,1792429,2080026,2216630,2340670,2516644,2622423,2686462,2784019,2880938,3053092,3264824,3391371,3614395,3687828,3832679,3982438,4120003,4323655,4571800,4859798,5098552,5183812,5376198,5675424,5795738,5789962,6059420,6406820,6581758,6880477,7201441
 "45003","Aiken, SC",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",91582,90919,91649,92470,95192,96120,97794,99450,100680,103220,104060,105957,106919,108220,108419,110440,112494,114539,115579,117042,118374,122046,126745,129898,132694,134214,135769,136477,138080,139358,141379,142742,143676,145226,146793,148746,150152,152577,154814,156896,158499,160531,161566,162910,163694,164213,165657,167103,168256,169401
 "45003","Aiken, SC",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3499,3636,3904,4243,4583,5022,5283,5908,6444,7016,7741,8546,9451,10016,10882,12161,13128,13739,14238,15314,17572,18162,18468,19374,19763,20016,20506,21109,22111,23428,23988,25321,25668,26391,27130,27698,28795,29964,31391,32496,32706,33490,35128,35576,35371,36900,38675,39387,40893,42511
 "45005","Allendale, SC",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",20553,22480,24553,26871,29995,35118,36410,39468,43109,49525,56975,60273,71092,71933,75219,84363,89126,89925,94833,101721,111487,117415,127435,136462,139686,154330,160085,158624,170142,174208,177008,181677,190814,190022,194329,202296,214180,228386,234169,246235,255037,270773,271597,272098,254513,258184,260341,268200,284370,295913
