GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "47000","Tennessee",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",11815600,12849372,14188137,15970576,18141651,20073602,21893630,24519691,27175753,30979262,34543736,38077998,42383340,45046219,48057095,53481428,57207491,61216362,65940974,71645974,76927829,81783900,86008886,94052894,100091784,106496614,114364864,120799015,127953042,140036988,145564589,154419504,158356794,162839346,169454802,179482356,187942269,200305081,209963551,217598576,216041812,226586583,240717683,253613069,256016043,266873405,280719455,290560382,301559853,317514933
 "47000","Tennessee",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",3897000,3936975,4010238,4088445,4138417,4201621,4260829,4329160,4401939,4461639,4533297,4600252,4627662,4646043,4659757,4686743,4715292,4738708,4782939,4822438,4854432,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5638706,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6355301,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010
 "47000","Tennessee",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3032,3264,3538,3906,4384,4778,5138,5664,6174,6943,7620,8277,9159,9696,10313,11411,12132,12918,13787,14857,15847,16709,17318,18625,19482,20357,21469,22301,23267,25141,25815,27073,27537,28096,28977,30365,31370,32897,33998,34830,34260,35653,37627,39312,39427,40801,42593,43726,44950,46900
 "47001","Anderson, TN",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",187333,208124,231959,253621,277501,310627,358587,400757,447147,502357,554618,602888,665992,715648,756700,829331,863566,892235,945265,1043789,1126615,1174193,1244911,1327677,1390228,1439928,1520706,1559030,1625219,1715876,1744922,1819813,2010587,2097626,2111602,2121045,2202632,2329122,2430509,2530846,2496418,2584858,2718028,2740831,2721967,2808835,2905078,2997565,3055522,3200965
 "47001","Anderson, TN",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",60426,60538,61673,61041,60965,61552,61796,63356,65202,65100,66029,67467,67818,67762,67885,67879,67398,67047,67544,67902,68084,68406,69292,70509,70837,71151,71597,71797,71736,71321,71454,71357,71461,71515,71608,71587,72040,73117,73580,74397,75031,75105,75170,75191,75268,75139,75485,75583,76187,76482
 "47001","Anderson, TN",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3100,3438,3761,4155,4552,5047,5803,6325,6858,7717,8400,8936,9820,10561,11147,12218,12813,13308,13995,15372,16547,17165,17966,18830,19626,20238,21240,21714,22656,24058,24420,25503,28135,29331,29488,29629,30575,31855,33032,34018,33272,34417,36158,36452,36164,37382,38486,39659,40106,41853
 "47003","Bedford, TN",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",76254,80792,86088,98314,109474,117196,120879,143957,155928,175210,197974,212032,240226,250597,263490,306220,324025,350878,381596,425022,454756,468600,490728,534480,562368,594162,641798,667995,720743,791799,820749,871942,922072,929537,981147,1058553,1118114,1176487,1220044,1239074,1211046,1246897,1326338,1392677,1456815,1552184,1601114,1663177,1723302,1827436
 "47003","Bedford, TN",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",24918,24954,24820,25135,25863,26111,26193,26615,26612,27260,27501,27949,28026,28360,28393,28841,29146,29452,29554,29797,30071,30583,31292,32194,32785,33273,34251,35154,35710,36275,36931,37806,38414,38960,39697,40558,41616,42780,43678,44395,44845,45077,45240,45271,45613,46288,46922,47402,48138,49038
 "47003","Bedford, TN",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3060,3238,3468,3911,4233,4488,4615,5409,5859,6427,7199,7586,8572,8836,9280,10618,11117,11914,12912,14264,15123,15322,15682,16602,17153,17857,18738,19002,20183,21828,22224,23064,24004,23859,24716,26100,26867,27501,27933,27910,27005,27661,29318,30763,31939,33533,34123,35087,35799,37266
 "47005","Benton, TN",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",30927,34411,39137,41996,49541,56134,62004,72247,80352,90571,102131,112045,126702,126331,126552,143425,149242,156782,165893,182372,197466,209100,227199,228473,243080,262729,277274,280124,298001,304234,315651,331924,326291,334501,345774,363732,384727,399060,423837,444507,443335,461002,477945,487628,486928,484342,499814,506908,522095,544766
 "47005","Benton, TN",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",12004,12173,12518,12652,12805,12928,13524,13833,14364,14572,14834,14912,14926,14985,14850,14793,14744,14581,14436,14447,14460,14580,14843,15083,15261,15498,15830,16094,16299,16353,16519,16537,16673,16572,16531,16517,16515,16435,16490,16431,16424,16511,16488,16414,16360,16173,16184,16058,15959,16184
 "47005","Benton, TN",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2576,2827,3126,3319,3869,4342,4585,5223,5594,6215,6885,7514,8489,8430,8522,9695,10122,10752,11492,12624,13656,14342,15307,15148,15928,16952,17516,17405,18283,18604,19108,20072,19570,20185,20917,22022,23296,24281,25703,27053,26993,27921,28987,29708,29763,29948,30883,31567,32715,33661
 "47007","Bledsoe, TN",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",14554,16825,18614,21885,25852,27013,30819,36021,38661,45153,49726,52125,57025,60770,68335,79125,84757,88975,92336,97886,104930,107733,112120,122258,137658,150380,157793,174221,192646,209543,214572,222424,219897,216194,218514,228328,229368,229230,231600,237139,249160,259980,280626,301216,322550,341322,356701,354995,370512,387774
