GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "48000","Texas",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",38574952,42497001,46116225,51173430,58113014,65532274,74746690,84227582,93978608,108293275,124677522,143140318,168292411,185542644,198083650,216833934,233561973,238934147,243559445,258240426,275917143,297726251,311370378,336646045,356399215,376613598,402805264,433164880,472178352,514063952,541440219,589275374,625492927,633035683,655908038,687220241,745858720,820949930,873354038,954649795,910498605,966149670,1057757511,1132222114,1159745579,1248733047,1280251017,1274394916,1357465627,1445270436
 "48000","Texas",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845
 "48000","Texas",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3493,3782,4007,4352,4835,5342,5947,6528,7124,8023,8978,9983,11413,12102,12575,13546,14353,14427,14653,15494,16417,17455,17897,18956,19624,20287,21246,22397,23919,25502,26337,28135,29339,29185,29772,30688,32745,35144,36646,39271,36711,38274,41244,43397,43781,46289,46577,45616,47929,50355
 "48001","Anderson, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",75464,81737,89499,96277,111621,128531,152014,169370,189684,219009,247827,288668,351231,414083,437763,463992,485398,492886,501794,530217,568928,586212,614923,651784,678153,730268,782732,824947,864014,911309,929068,993286,1030435,1048734,1082988,1120275,1186863,1275176,1386194,1500800,1475254,1562474,1643914,1716013,1741086,1792068,1846394,1893275,1894609,1987998
 "48001","Anderson, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",28708,28012,29457,30684,30649,30901,32149,33462,34760,36546,37968,38874,40730,41873,44378,45215,46020,46495,46256,48084,48602,47980,48284,48618,49763,50729,53094,53510,54051,54290,54876,55062,54263,54740,56068,56245,56873,57386,57870,57963,58410,58497,58394,58065,57977,57849,57646,57550,58212,58057
 "48001","Anderson, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2629,2918,3038,3138,3642,4159,4728,5062,5457,5993,6527,7426,8623,9889,9864,10262,10548,10601,10848,11027,11706,12218,12736,13406,13628,14395,14742,15417,15985,16786,16930,18039,18990,19158,19316,19918,20869,22221,23954,25892,25257,26710,28152,29553,30031,30978,32030,32898,32547,34242
 "48003","Andrews, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",37335,40614,47883,43380,50717,59795,72421,82569,95344,104092,115275,131937,174612,204095,210820,221938,225654,203267,195091,189245,199303,207443,209044,219334,225067,230244,230068,235156,251666,249372,244912,266302,298578,299533,323117,344284,379004,433310,472190,562602,497524,540137,657058,774630,843171,939430,821388,716894,795025,906592
 "48003","Andrews, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",9307,10450,10993,11146,10582,10751,11676,11885,12021,12418,12792,13482,14076,15142,15742,15752,16345,16509,15329,14968,14476,14270,14404,14324,13963,13953,13723,13583,13563,13594,13225,12949,12856,13022,12976,13006,13016,13195,13513,14099,14601,14849,15388,16113,16788,17445,18083,17805,17631,18128
 "48003","Andrews, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4011,3887,4356,3892,4793,5562,6203,6947,7931,8382,9011,9786,12405,13479,13392,14090,13806,12312,12727,12643,13768,14537,14513,15312,16119,16501,16765,17313,18555,18344,18519,20565,23225,23002,24901,26471,29118,32839,34943,39904,34075,36375,42699,48075,50225,53851,45423,40264,45092,50011
 "48005","Angelina, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",147461,162768,180117,205523,228128,260029,297976,336458,379338,445431,505599,558901,638576,704110,728863,791888,840609,872307,865878,929406,992623,1047405,1115108,1172424,1233726,1308410,1389415,1467788,1544487,1640463,1683529,1798142,1904204,1961410,2036854,2113256,2203705,2363232,2517377,2653307,2621505,2719522,2903360,3077247,3033770,3256399,3343596,3252418,3245651,3387655
 "48005","Angelina, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",48122,49644,51541,53112,54248,54634,55932,57360,58449,60444,61997,64558,65914,67879,68337,68314,68500,69088,68311,68777,69589,70037,70924,72300,73774,75060,75896,76852,78051,79248,79611,80270,80273,80803,81510,82070,82553,83810,84518,84961,86029,86905,87295,87520,87333,87599,87874,87759,87711,87092
 "48005","Angelina, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3064,3279,3495,3870,4205,4759,5327,5866,6490,7369,8155,8657,9688,10373,10666,11592,12272,12626,12676,13513,14264,14955,15723,16216,16723,17432,18307,19099,19788,20700,21147,22401,23722,24274,24989,25749,26694,28197,29785,31230,30472,31293,33259,35161,34738,37174,38050,37061,37004,38897
 "48007","Aransas, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",29719,34179,40714,44090,50339,59509,68899,81752,96307,110573,128564,142103,159130,183072,196159,211429,230322,228614,225053,232667,253920,262258,281994,298754,330864,342933,379915,414734,454725,498534,501041,534435,558530,567273,586248,635693,694608,746779,787616,829327,818405,868293,936567,1037050,1080432,1139580,1168057,1092617,1142353,1151262
 "48007","Aransas, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",8661,9016,9733,10356,10586,10840,11300,11695,12285,13183,13985,14398,14908,16105,16519,17259,17707,18128,17972,18060,17954,17863,18322,18936,19378,20413,20664,21239,21888,22135,22417,22452,22287,22616,22843,23067,23561,23395,23172,23225,23291,23182,23214,23457,23890,24570,24815,25191,25447,23792
 "48007","Aransas, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3431,3791,4183,4257,4755,5490,6097,6990,7839,8388,9193,9870,10674,11367,11875,12250,13007,12611,12522,12883,14143,14682,15391,15777,17074,16800,18385,19527,20775,22522,22351,23803,25061,25083,25664,27559,29481,31920,33990,35708,35138,37455,40345,44211,45225,46381,47071,43373,44891,48389
 "48009","Archer, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",22111,24387,25666,25048,31640,39845,42806,48620,51327,56498,64795,73082,90575,98198,103482,118182,113319,110391,112667,118682,120939,130641,132826,142966,148078,154575,159832,173133,188996,202945,212479,230009,247857,254639,260890,264722,270546,301245,318771,362059,334853,354938,373930,401399,419024,440042,404782,400076,415598,442022
 "48009","Archer, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",6019,5743,5711,5834,6084,6111,6329,6385,6546,6704,7012,7324,7537,7651,7954,8099,8041,8069,7980,8007,7963,7980,7761,7728,7865,8012,8224,8327,8329,8415,8455,8966,8849,8942,9013,9078,9068,9063,9026,9104,9023,9112,8834,8809,8795,8837,8758,8780,8786,8786
 "48009","Archer, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3674,4246,4494,4293,5201,6520,6763,7615,7841,8428,9241,9978,12017,12835,13010,14592,14093,13681,14119,14822,15188,16371,17115,18500,18827,19293,19435,20792,22691,24117,25131,25653,28010,28477,28946,29161,29835,33239,35317,39769,37111,38953,42329,45567,47643,49795,46219,45567,47302,50310
 "48011","Armstrong, TX",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7941,7081,10069,10545,16679,13906,20131,16017,17095,17007,25202,23401,26057,26407,26656,28922,27934,31194,30302,30619,30386,33181,34289,38626,39680,35415,36550,40733,45200,47011,52594,49791,56917,60033,66042,69951,71340,71779,79201,76108,70508,76351,74984,72621,82721,83495,84297,84163,82986,90807
 "48011","Armstrong, TX",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",1847,1875,1850,1731,1895,1744,1813,1910,1867,1882,1915,1997,2006,1967,2045,2022,2054,2197,2175,2108,2043,2018,1935,1930,2003,2040,2061,2095,2131,2081,2116,2166,2128,2036,2001,2023,2037,1989,1936,1936,1911,1902,1936,1953,1939,1913,1901,1843,1881,1892
 "48011","Armstrong, TX",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4299,3777,5443,6092,8802,7974,11104,8386,9156,9037,13160,11718,12990,13425,13035,14304,13600,14198,13932,14525,14873,16443,17720,20013,19810,17360,17734,19443,21211,22591,24855,22988,26747,29486,33004,34578,35022,36088,40910,39312,36896,40142,38731,37184,42662,43646,44344,45666,44118,47995
