GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "53000","Washington",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",14235772,15036667,15838561,17079016,19236035,21826702,24719584,27398764,30411983,35366608,40755502,46241935,51391260,54606379,58281463,62431081,66376252,70875837,75031208,81724088,90313168,99151181,106188886,114759017,120676876,126855369,134146303,144246155,155513933,170382379,181940505,194509940,199204080,202617990,210856483,226359648,235828131,257120021,278686861,292402755,279749663,287760329,304986858,329258611,336333907,363327071,385687900,407654064,434758590,467399039
 "53000","Washington",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591
 "53000","Washington",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4258,4400,4595,4955,5532,6152,6831,7424,8062,9101,10156,11130,12133,12769,13553,14373,15085,15917,16556,17613,19028,20222,21129,22237,22860,23600,24475,25898,27405,29531,31141,32909,33280,33478,34543,36636,37688,40359,43130,44558,41958,42676,44709,47768,48304,51518,53840,55884,58550,62026
 "53001","Adams, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",50693,58805,61987,70546,88299,110609,127468,112902,106354,115512,114330,146411,155042,143128,204125,196291,186344,210993,186319,207848,211549,245014,239110,262533,301112,288726,300961,331187,327593,346991,336739,355949,351487,369193,398754,403456,405162,430451,497573,549672,551082,589188,657777,706500,716573,752238,846932,790028,832782,845694
 "53001","Adams, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",11219,12125,12474,12378,12558,12423,12658,13429,13632,13605,13703,13259,13202,13240,13403,13533,13618,13482,13599,13476,13575,13636,14100,14476,14932,15646,15711,15860,16042,16194,16239,16458,16259,16445,16612,16664,16918,16997,17413,17782,18405,18789,18879,18952,19115,19200,19244,19378,19681,19759
 "53001","Adams, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4518,4850,4969,5699,7031,8904,10070,8407,7802,8490,8343,11042,11744,10810,15230,14505,13684,15650,13701,15424,15584,17968,16958,18136,20166,18454,19156,20882,20421,21427,20736,21628,21618,22450,24004,24211,23949,25325,28575,30912,29942,31358,34842,37278,37487,39179,44010,40769,42314,42800
 "53003","Asotin, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",46337,49275,53364,59876,68905,76399,89377,96962,107293,124061,142358,159825,171882,177037,196073,203358,204430,210778,216669,232115,248520,268165,294606,316171,344073,360459,376105,406753,437927,463740,484857,508789,531883,542291,565808,587186,601989,649947,693187,743165,745950,779772,816697,839286,853116,895920,927168,973902,1020055,1065013
 "53003","Asotin, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",13285,13833,14091,14909,14954,15271,15423,15610,15858,16150,16452,16857,16963,16998,17046,17299,17385,17311,17128,17095,17324,17666,17948,18399,18860,19454,19894,20280,20499,20721,20560,20546,20447,20490,20487,20783,20908,21133,21188,21393,21415,21725,21969,21908,22128,22189,22106,22275,22507,22610
 "53003","Asotin, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3488,3562,3787,4016,4608,5003,5795,6212,6766,7682,8653,9481,10133,10415,11503,11755,11759,12176,12650,13578,14345,15180,16414,17184,18244,18529,18905,20057,21363,22380,23583,24763,26013,26466,27618,28253,28792,30755,32716,34739,34833,35893,37175,38310,38554,40377,41942,43722,45322,47104
 "53005","Benton, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",252490,279201,296277,330157,377431,458489,560324,636475,769402,957891,1112459,1230007,1475001,1537960,1563715,1535123,1581878,1660476,1721561,1753389,1886413,2080186,2286354,2537477,2805750,3047425,3110024,3181124,3277038,3457500,3656107,3924595,4256089,4491042,4765116,5037106,5156293,5298492,5772885,6283329,6597754,7232912,7650558,7564035,7490609,7778521,8477885,8757495,9135505,9582003
 "53005","Benton, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",64951,67599,67742,68011,68387,71129,76936,83029,88906,96702,103941,110252,113271,116202,112679,110669,110353,110193,110971,110060,109284,113583,116631,120711,125195,130703,134740,135833,137376,138628,140629,143131,145909,150323,153596,155689,157726,159564,161669,166573,171122,176465,180429,182391,184355,186542,190316,193652,198453,201877
 "53005","Benton, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3887,4130,4374,4854,5519,6446,7283,7666,8654,9906,10703,11156,13022,13235,13878,13871,14335,15069,15514,15931,17262,18314,19603,21021,22411,23316,23082,23419,23855,24941,25998,27420,29169,29876,31024,32354,32691,33206,35708,37721,38556,40988,42402,41472,40631,41698,44546,45223,46034,47465
 "53007","Chelan, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",161912,168015,188978,195432,224576,259005,295065,320591,356237,394942,433891,481931,519517,558892,606695,656213,683794,723640,778962,785176,866069,922920,1034788,1130974,1202053,1266731,1327553,1435331,1503908,1607384,1631650,1731916,1777480,1808229,1886650,2003779,2067480,2191574,2368102,2586007,2552867,2616137,2770712,3046393,3119231,3345147,3585119,3804874,4011617,4218701
 "53007","Chelan, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",39659,41063,41074,39924,39663,40639,41266,41951,42949,43748,44437,45315,46242,46530,47528,48598,49312,49478,49636,50916,51698,52476,53627,55127,56599,58384,60569,62091,63233,64415,65764,66648,66574,66742,67173,67882,68747,69536,70214,70813,71679,72756,73221,73497,73762,74170,75123,75977,76479,77036
 "53007","Chelan, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4083,4092,4601,4895,5662,6373,7150,7642,8294,9028,9764,10635,11235,12011,12765,13503,13867,14625,15693,15421,16752,17587,19296,20516,21238,21697,21918,23117,23784,24954,24811,25986,26699,27093,28086,29519,30074,31517,33727,36519,35615,35958,37840,41449,42288,45101,47723,50079,52454,54763
 "53009","Clallam, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",118780,134258,146221,166787,198103,228675,256345,299836,342799,386801,453416,498130,536075,560523,614746,670558,715269,749006,777570,844380,943300,1012662,1069248,1135696,1192378,1234629,1297883,1368695,1460418,1524089,1563355,1632864,1732107,1772420,1896307,1963856,2021131,2170154,2314090,2501083,2452418,2509150,2630447,2767994,2782523,2936304,3039820,3164011,3334707,3539082
 "53009","Clallam, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",34050,34999,36103,36600,39029,40705,41251,43847,45182,47367,49969,51703,51825,51217,51162,51629,52068,52687,53797,54425,55241,56525,57926,59494,60643,61485,62108,62916,63380,63998,64252,64269,64756,65777,66301,67411,68720,69642,70186,70769,71077,71509,71760,71771,72056,72477,73222,74285,75712,76737
 "53009","Clallam, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3488,3836,4050,4557,5076,5618,6214,6838,7587,8166,9074,9634,10344,10944,12016,12988,13737,14216,14454,15515,17076,17915,18459,19089,19662,20080,20897,21754,23042,23815,24332,25407,26748,26946,28601,29133,29411,31162,32971,35342,34504,35089,36656,38567,38616,40514,41515,42593,44045,46120
 "53011","Clark, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",485745,521485,585504,667615,758084,868074,969775,1106896,1254953,1469515,1714204,1963885,2164278,2258676,2429500,2691519,2843891,3056645,3271188,3681997,4123479,4538430,4861928,5325419,5819907,6306364,6888888,7653162,8477977,9069361,9419863,10351309,10690226,10789246,11443665,12268702,13371656,14453721,15547548,16544373,15772919,16130012,17085780,18280996,18472829,20001901,21334733,22657050,24088055,25742325
 "53011","Clark, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",126949,129619,134700,139136,146688,151388,156949,162199,168575,177818,186553,193230,196863,199472,199673,201634,205606,209610,214534,221654,228760,240883,252172,260947,272259,283560,294656,307614,320584,330699,339541,347208,357211,366405,374098,384931,394277,401698,408820,415282,421236,426709,432259,436372,441385,448277,456986,465310,474492,481857
 "53011","Clark, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3826,4023,4347,4798,5168,5734,6179,6824,7444,8264,9189,10163,10994,11323,12167,13349,13832,14583,15248,16611,18025,18841,19280,20408,21376,22240,23379,24879,26445,27425,27743,29813,29927,29446,30590,31872,33914,35982,38030,39839,37444,37801,39527,41893,41852,44620,46686,48692,50766,53423
 "53013","Columbia, WA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",22322,23272,23530,28363,39949,38311,39848,37705,34848,40483,40548,47454,53985,53680,71183,65244,59367,65334,58773,59925,62502,67771,66385,74759,84914,79138,92115,106662,93401,100331,103897,118486,115316,111653,116352,117538,117506,122147,141830,155593,159356,163510,176348,171826,167607,169915,191991,184184,189127,203245
 "53013","Columbia, WA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",4428,4429,4269,4463,4372,4314,4196,4209,4205,4067,3927,4060,4069,4030,4086,4111,4138,4157,4114,4076,4057,4020,3890,3939,4017,4053,4148,4176,4126,4082,4061,4069,4034,3995,4003,4027,3974,3895,3897,3903,3977,4094,4004,3977,4002,3984,3961,3978,4023,4059
 "53013","Columbia, WA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5041,5254,5512,6355,9137,8881,9497,8958,8287,9954,10325,11688,13267,13320,17421,15871,14347,15717,14286,14702,15406,16858,17066,18979,21139,19526,22207,25542,22637,24579,25584,29119,28586,27948,29066,29187,29569,31360,36395,39865,40069,39939,44043,43205,41881,42649,48470,46301,47011,50073
