GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "55000","Wisconsin",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16424603,17648753,18959244,20731568,23157827,25436474,27871968,30609129,34210389,38209862,42797607,47281994,51613356,54462321,57196715,62913160,66276653,69916780,73793678,78456347,85533880,90431226,94002441,101407734,106713903,113394413,119327068,126196708,133915177,143322190,149420728,159325995,167133292,171578065,176274512,184282831,190975843,202649291,211964861,219492838,215830801,221909662,234910041,246150786,247744896,258489368,268947729,274504689,285487389,299932678
 "55000","Wisconsin",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",4378000,4425944,4459968,4498433,4518461,4538173,4569616,4584688,4613299,4631944,4665911,4712045,4726345,4728862,4721438,4735571,4747765,4755625,4777923,4822391,4856568,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5332666,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690479,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568
 "55000","Wisconsin",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3752,3988,4251,4609,5125,5605,6099,6676,7416,8249,9172,10034,10920,11517,12114,13285,13960,14702,15445,16269,17612,18438,18936,20179,20986,22088,23015,24129,25429,27054,28020,29648,30911,31510,32172,33421,34434,36332,37778,38910,38070,38997,41178,43034,43184,44939,46681,47550,49290,51592
 "55001","Adams, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",22995,25605,28640,31211,39289,45675,54847,58752,65830,78467,88878,104763,112415,113463,127606,139361,144916,153266,156267,163638,188987,191669,210879,228759,248626,271505,290091,316103,348401,371376,398019,431455,459537,478414,491104,504978,527236,551648,570148,584801,598661,610990,648050,673302,678672,693410,726768,733844,761745,788205
 "55001","Adams, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",8875,9302,9740,10321,10891,11242,12013,12452,12487,12936,13437,13573,14008,14320,14405,14539,14767,14779,15030,15115,15480,15696,15954,16151,16533,17051,17246,17545,17989,18158,18462,20047,20337,20578,20644,20774,21211,21185,21156,21101,20930,20882,20771,20419,20412,20129,20025,19971,19891,20348
 "55001","Adams, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2591,2753,2940,3024,3607,4063,4566,4718,5272,6066,6614,7718,8025,7923,8858,9585,9814,10371,10397,10826,12208,12211,13218,14164,15038,15923,16821,18017,19367,20452,21559,21522,22596,23249,23789,24308,24857,26040,26950,27714,28603,29259,31200,32974,33249,34448,36293,36745,38296,38736
 "55003","Ashland, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",47385,50666,54087,57571,62891,69075,78622,85948,94115,109133,119076,127141,140899,151171,164010,176565,184222,194055,193958,204881,219061,224596,235215,247287,264411,281782,297883,311141,328246,347649,358529,375405,398780,401038,409641,433707,442434,457205,454391,475235,490212,497819,520375,543414,552543,566639,582307,587886,605646,641260
 "55003","Ashland, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",17188,16704,16495,16254,16379,16245,16506,16569,16824,16381,16285,16913,17391,17365,17309,17043,16745,16568,16615,16475,16519,16268,16316,16512,16761,16764,16847,16891,16905,16896,16891,16823,16773,16747,16647,16547,16407,16408,16199,16145,16128,16143,16025,15839,15971,15998,15809,15638,15513,15600
 "55003","Ashland, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2757,3033,3279,3542,3840,4252,4763,5187,5594,6662,7312,7517,8102,8705,9475,10360,11002,11713,11674,12436,13261,13806,14416,14976,15775,16809,17682,18421,19417,20576,21226,22315,23775,23947,24607,26211,26966,27865,28051,29435,30395,30838,32473,34309,34597,35419,36834,37593,39041,41106
 "55005","Barron, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",95645,103663,113141,126052,147201,157731,179005,194824,229708,258269,282785,323335,349901,372057,371439,453549,478153,500721,505062,523412,581413,606402,638142,689122,719682,775829,808268,869368,919853,1013357,1048628,1100917,1205646,1219517,1257515,1297850,1346070,1422856,1521884,1574317,1623597,1638378,1762037,1926636,1851564,1947220,2030065,2016718,2110140,2232506
 "55005","Barron, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",34640,34222,35303,36172,36346,36325,36784,36827,37411,37440,38047,38898,39482,39761,39986,40153,40029,39833,40154,40659,40760,40796,41154,41796,42286,42742,43379,43760,44119,44419,44705,45018,45225,45515,45601,45804,45808,45968,45874,46009,45876,45810,45877,45767,45570,45343,45357,45233,45164,45164
 "55005","Barron, WI",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2761,3029,3205,3485,4050,4342,4866,5290,6140,6898,7433,8312,8862,9357,9289,11296,11945,12571,12578,12873,14264,14864,15506,16488,17019,18151,18633,19867,20849,22814,23457,24455,26659,26794,27576,28335,29385,30953,33175,34218,35391,35765,38408,42097,40631,42944,44757,44585,46722,49431
 "55007","Bayfield, WI",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",30134,31724,34699,38568,45163,50291,57469,64950,71897,82239,93023,103722,112466,121187,129789,141940,147263,154042,155512,166904,186953,197809,205829,218742,238366,255193,262687,278719,295256,309911,321958,343520,370647,378456,395739,419321,437070,462729,498374,515179,538432,540004,559513,603367,597308,620807,635370,650882,688005,730170
 "55007","Bayfield, WI",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",11917,11719,11851,11810,11987,12106,12550,12638,13299,13329,13531,13887,14119,14220,14080,14207,14065,13898,13923,13979,13953,14025,14056,14107,14361,14473,14621,14710,14789,14727,14895,15028,15076,15128,15165,15164,15163,15172,15255,15160,14981,15005,15063,15061,15117,14975,14980,14931,15033,15042
