"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	55	1087149	5.1
	"Baldwin County, AL"	"01003"	145	3758097	3.9
	"Barbour County, AL"	"01005"	49	574442	8.5
	"Bibb County, AL"	"01007"	41	464942	8.8
	"Blount County, AL"	"01009"	66	1171455	5.6
	"Bullock County, AL"	"01011"	26	228132	11.4
	"Butler County, AL"	"01013"	59	432574	13.6
	"Calhoun County, AL"	"01015"	260	2417088	10.8
	"Chambers County, AL"	"01017"	67	729514	9.2
	"Cherokee County, AL"	"01019"	26	533172	4.9
	"Chilton County, AL"	"01021"	48	895587	5.4
	"Choctaw County, AL"	"01023"	30	296696	10.1
	"Clarke County, AL"	"01025"	41	544534	7.5
	"Clay County, AL"	"01027"	13	290880	Unreliable
	"Cleburne County, AL"	"01029"	30	308526	9.7
	"Coffee County, AL"	"01031"	36	1013677	3.6
	"Colbert County, AL"	"01033"	62	1145366	5.4
	"Conecuh County, AL"	"01035"	34	276873	12.3
	"Coosa County, AL"	"01037"	23	236916	9.7
	"Covington County, AL"	"01039"	42	786577	5.3
	"Crenshaw County, AL"	"01041"	27	290674	9.3
	"Cullman County, AL"	"01043"	50	1681053	3.0
	"Dale County, AL"	"01045"	60	1038926	5.8
	"Dallas County, AL"	"01047"	202	905119	22.3
	"DeKalb County, AL"	"01049"	57	1452392	3.9
	"Elmore County, AL"	"01051"	105	1599304	6.6
	"Escambia County, AL"	"01053"	78	794277	9.8
	"Etowah County, AL"	"01055"	156	2172302	7.2
	"Fayette County, AL"	"01057"	20	365721	5.5
	"Franklin County, AL"	"01059"	27	658289	4.1
	"Geneva County, AL"	"01061"	38	552186	6.9
	"Greene County, AL"	"01063"	28	191904	14.6
	"Hale County, AL"	"01065"	40	336412	11.9
	"Henry County, AL"	"01067"	28	356117	7.9
	"Houston County, AL"	"01069"	123	2065904	6.0
	"Jackson County, AL"	"01071"	53	1114465	4.8
	"Jefferson County, AL"	"01073"	2475	13831705	17.9
	"Lamar County, AL"	"01075"	Suppressed	308273	Suppressed
	"Lauderdale County, AL"	"01077"	100	1909789	5.2
	"Lawrence County, AL"	"01079"	42	713628	5.9
	"Lee County, AL"	"01081"	228	2908181	7.8
	"Limestone County, AL"	"01083"	91	1693862	5.4
	"Lowndes County, AL"	"01085"	64	243984	26.2
	"Macon County, AL"	"01087"	124	446429	27.8
	"Madison County, AL"	"01089"	432	6812953	6.3
	"Marengo County, AL"	"01091"	40	439746	9.1
	"Marion County, AL"	"01093"	27	640461	4.2
	"Marshall County, AL"	"01095"	63	1896881	3.3
	"Mobile County, AL"	"01097"	1235	8562508	14.4
	"Monroe County, AL"	"01099"	55	480804	11.4
	"Montgomery County, AL"	"01101"	785	4748983	16.5
	"Morgan County, AL"	"01103"	141	2448981	5.8
	"Perry County, AL"	"01105"	27	220873	12.2
	"Pickens County, AL"	"01107"	21	424172	5.0
	"Pike County, AL"	"01109"	64	669582	9.6
	"Randolph County, AL"	"01111"	40	475196	8.4
	"Russell County, AL"	"01113"	159	1127423	14.1
	"St. Clair County, AL"	"01115"	80	1660655	4.8
	"Shelby County, AL"	"01117"	133	3899001	3.4
	"Sumter County, AL"	"01119"	38	288332	13.2
	"Talladega County, AL"	"01121"	169	1704508	9.9
	"Tallapoosa County, AL"	"01123"	70	864280	8.1
	"Tuscaloosa County, AL"	"01125"	312	3958076	7.9
	"Walker County, AL"	"01127"	99	1411896	7.0
	"Washington County, AL"	"01129"	32	364054	8.8
	"Wilcox County, AL"	"01131"	46	248689	18.5
	"Winston County, AL"	"01133"	31	511487	6.1
	"Aleutians East Borough, AK"	"02013"	Suppressed	63672	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	117650	Suppressed
	"Anchorage Borough, AK"	"02020"	434	5960535	7.3
	"Bethel Census Area, AK"	"02050"	52	359773	14.5
	"Bristol Bay Borough, AK"	"02060"	Suppressed	21896	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	32242	Suppressed
	"Dillingham Census Area, AK"	"02070"	11	102916	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	124	1969975	6.3
	"Haines Borough, AK"	"02100"	Suppressed	51204	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	12737	Suppressed
	"Juneau Borough, AK"	"02110"	17	661671	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	43	1143783	3.8
	"Ketchikan Gateway Borough, AK"	"02130"	14	286599	Unreliable
	"Kodiak Island Borough, AK"	"02150"	Suppressed	284968	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	34542	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	100	1782496	5.6
	"Nome Census Area, AK"	"02180"	18	200320	Unreliable
	"North Slope Borough, AK"	"02185"	16	185755	Unreliable
	"Northwest Arctic Borough, AK"	"02188"	12	157656	Unreliable
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	19254	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	38152	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	85493	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	185903	Suppressed
	"Skagway Municipality, AK"	"02230"	Suppressed	6669	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	48560	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	139300	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	203432	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	32	159384	20.1
	"Wrangell City and Borough, AK"	"02275"	Suppressed	14683	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	94972	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	13947	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	28	129587	21.6
	"Apache County, AZ"	"04001"	204	1479816	13.8
	"Cochise County, AZ"	"04003"	120	2640428	4.5
	"Coconino County, AZ"	"04005"	185	2756984	6.7
	"Gila County, AZ"	"04007"	97	1106463	8.8
	"Graham County, AZ"	"04009"	39	751902	5.2
	"Greenlee County, AZ"	"04011"	Suppressed	181030	Suppressed
	"La Paz County, AZ"	"04012"	33	425503	7.8
