"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	7893	918492	859.34
	"Baldwin County, AL"	"01003"	30292	3102984	976.22
	"Barbour County, AL"	"01005"	5197	499262	1040.94
	"Bibb County, AL"	"01007"	4089	397470	1028.76
	"Blount County, AL"	"01009"	9912	997531	993.65
	"Bullock County, AL"	"01011"	2305	197588	1166.57
	"Butler County, AL"	"01013"	4986	374201	1332.44
	"Calhoun County, AL"	"01015"	24273	2073654	1170.54
	"Chambers County, AL"	"01017"	8333	628820	1325.18
	"Cherokee County, AL"	"01019"	5479	454744	1204.85
	"Chilton County, AL"	"01021"	8150	762303	1069.13
	"Choctaw County, AL"	"01023"	3077	258214	1191.65
	"Clarke County, AL"	"01025"	5172	472616	1094.33
	"Clay County, AL"	"01027"	3271	250712	1304.68
	"Cleburne County, AL"	"01029"	3077	263977	1165.63
	"Coffee County, AL"	"01031"	8583	856929	1001.60
	"Colbert County, AL"	"01033"	11854	980619	1208.83
	"Conecuh County, AL"	"01035"	3087	240029	1286.09
	"Coosa County, AL"	"01037"	2435	205706	1183.73
	"Covington County, AL"	"01039"	9114	675056	1350.11
	"Crenshaw County, AL"	"01041"	3237	248758	1301.26
	"Cullman County, AL"	"01043"	16582	1430571	1159.12
	"Dale County, AL"	"01045"	8382	891078	940.66
	"Dallas County, AL"	"01047"	9825	789694	1244.15
	"DeKalb County, AL"	"01049"	13014	1237389	1051.73
	"Elmore County, AL"	"01051"	11839	1353407	874.76
	"Escambia County, AL"	"01053"	7993	683727	1169.03
	"Etowah County, AL"	"01055"	24449	1864049	1311.61
	"Fayette County, AL"	"01057"	4186	316242	1323.67
	"Franklin County, AL"	"01059"	6976	563568	1237.83
	"Geneva County, AL"	"01061"	5925	473304	1251.84
	"Greene County, AL"	"01063"	1965	167097	1175.96
	"Hale County, AL"	"01065"	3404	291975	1165.85
	"Henry County, AL"	"01067"	3814	304327	1253.26
	"Houston County, AL"	"01069"	17236	1751027	984.34
	"Jackson County, AL"	"01071"	11466	959028	1195.59
