                               Labor Force Data by County, 2010 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2010        25,713       23,431      2,282      8.9
CN0100300000000   01     003   Baldwin County, AL                                2010        83,459       75,120      8,339     10.0
CN0100500000000   01     005   Barbour County, AL                                2010        10,221        8,959      1,262     12.3
CN0100700000000   01     007   Bibb County, AL                                   2010         8,934        7,914      1,020     11.4
CN0100900000000   01     009   Blount County, AL                                 2010        24,906       22,460      2,446      9.8
CN0101100000000   01     011   Bullock County, AL                                2010         4,941        4,356        585     11.8
CN0101300000000   01     013   Butler County, AL                                 2010         9,261        7,998      1,263     13.6
CN0101500000000   01     015   Calhoun County, AL                                2010        51,559       45,699      5,860     11.4
CN0101700000000   01     017   Chambers County, AL                               2010        14,754       12,554      2,200     14.9
CN0101900000000   01     019   Cherokee County, AL                               2010        11,464       10,245      1,219     10.6
CN0102100000000   01     021   Chilton County, AL                                2010        19,462       17,464      1,998     10.3
CN0102300000000   01     023   Choctaw County, AL                                2010         4,860        4,216        644     13.3
CN0102500000000   01     025   Clarke County, AL                                 2010         9,108        7,300      1,808     19.9
CN0102700000000   01     027   Clay County, AL                                   2010         5,851        5,005        846     14.5
CN0102900000000   01     029   Cleburne County, AL                               2010         6,033        5,429        604     10.0
CN0103100000000   01     031   Coffee County, AL                                 2010        21,088       19,271      1,817      8.6
CN0103300000000   01     033   Colbert County, AL                                2010        24,228       21,453      2,775     11.5
CN0103500000000   01     035   Conecuh County, AL                                2010         4,991        4,131        860     17.2
CN0103700000000   01     037   Coosa County, AL                                  2010         4,654        3,937        717     15.4
CN0103900000000   01     039   Covington County, AL                              2010        16,417       14,721      1,696     10.3
CN0104100000000   01     041   Crenshaw County, AL                               2010         6,285        5,646        639     10.2
CN0104300000000   01     043   Cullman County, AL                                2010        35,959       32,202      3,757     10.4
CN0104500000000   01     045   Dale County, AL                                   2010        22,072       20,124      1,948      8.8
CN0104700000000   01     047   Dallas County, AL                                 2010        17,808       14,806      3,002     16.9
CN0104900000000   01     049   DeKalb County, AL                                 2010        30,942       27,026      3,916     12.7
CN0105100000000   01     051   Elmore County, AL                                 2010        36,683       33,362      3,321      9.1
CN0105300000000   01     053   Escambia County, AL                               2010        15,007       13,238      1,769     11.8
CN0105500000000   01     055   Etowah County, AL                                 2010        44,000       39,193      4,807     10.9
CN0105700000000   01     057   Fayette County, AL                                2010         6,831        5,942        889     13.0
CN0105900000000   01     059   Franklin County, AL                               2010        14,255       12,724      1,531     10.7
CN0106100000000   01     061   Geneva County, AL                                 2010        11,559       10,362      1,197     10.4
CN0106300000000   01     063   Greene County, AL                                 2010         3,306        2,735        571     17.3
CN0106500000000   01     065   Hale County, AL                                   2010         6,445        5,473        972     15.1
CN0106700000000   01     067   Henry County, AL                                  2010         7,259        6,469        790     10.9
