AQC00914000       21392R
AQW00061705       12263C
CAW00064757        3172Q
CQC00914080        8339P
CQC00914801        9124R
CQC00914855        6976P
CQC00914874        7868P
FMC00914213       11594R
FMC00914325       12840P
FMC00914395       19334P
FMC00914419       14000P
FMC00914429       12219R
FMC00914446       11115R
FMC00914482       15905R
FMC00914585       11230R
FMC00914590       15660R
FMC00914705       21416R
FMC00914720       15301R
FMC00914761       10064R
FMC00914808       11360R
FMC00914831       11391R
FMC00914892       10152R
FMC00914898       18972P
FMC00914911       12021P
FMW00040308       12093C
FMW00040504       18122S
FMW00040505       13454S
GQC00914001        9350P
GQC00914025        9186P
GQC00914156        9666P
GQC00914468        9014P
GQC00914950        7259P
GQW00041415        9764S
JQW00021603        2647P
MQW00022701        3911P
PSC00914519       14540R
PSW00040309       14764C
RMC00913915       11295R
RMC00914304       12630R
RMC00914487       11952R
RMC00914903        5848R
RMW00040604        9372S
RMW00040710       12742C
RQC00660040        7645S
RQC00660053        7764R
RQC00660061        7861S
RQC00660152        3972S
RQC00660158        6023R
RQC00660426        8413S
RQC00660668        6256R
RQC00660948        3726R
RQC00661142        8486S
RQC00661309        6099R
RQC00661345        5772S
RQC00661590        7730S
RQC00661901        5909R
RQC00662316        3330R
RQC00662330        8429R
RQC00662336        9932R
RQC00662634        6490R
RQC00662723        4282R
RQC00662801        7578R
RQC00662934        7776R
RQC00663023        6228S
RQC00663409        6445R
RQC00663431        7646S
RQC00663532        3377S
RQC00663657        6729R
RQC00663904        7612S
RQC00664126        4973R
RQC00664193        5457R
RQC00664276        6506S
RQC00664340        5603R
RQC00664702        6496R
RQC00664867        7615S
RQC00664910        8253R
RQC00665020        4215R
RQC00665064        6837S
RQC00665097        4798R
RQC00665123        7263R
RQC00665693        4335Q
RQC00665807        6164R
RQC00665908        9083Q
RQC00666050        7218R
RQC00666073        5945R
RQC00666083        8533S
RQC00666258        3901R
RQC00666270        6613R
RQC00666361        6063S
RQC00666390        7309S
RQC00666514        7531S
RQC00666805       10013S
RQC00666900        5574R
RQC00666983        5827R
RQC00666992       17248R
RQC00667292        3847S
RQC00667295        2901R
RQC00668126        5994Q
RQC00668144       10711R
RQC00668306        7078R
RQC00668814        7311Q
RQC00668815        9474S
RQC00668940        3627S
RQC00669421        6776R
RQC00669432        9294R
RQC00669521        7056R
RQC00669608        7178R
RQC00669774        5762R
RQC00669860        4748S
RQW00011603        5472R
RQW00011630        5234R
RQW00011641        5635S
USC00010008        5551S
USC00010063        5824R
USC00010140        5431S
USC00010160        5562S
USC00010178        5617R
USC00010184        5314S
USC00010252        5997R
USC00010260        5793Q
USC00010369        5815R
USC00010390        5689R
USC00010402        6269R
USC00010425        5357R
USC00010430        5255R
USC00010440        5156R
USC00010505        5984S
USC00010583        6890S
USC00010655        5321R
USC00010748        5843Q
USC00010764        5712S
USC00010957        5436R
USC00011080        7073S
USC00011084        6585S
USC00011099        6011R
USC00011178        5736R
USC00011288        5528R
USC00011301        5585R
USC00011324        5366Q
USC00011377        5762R
USC00011490        5410Q
USC00011620        5347S
USC00011690        5283R
USC00011694        5788R
USC00011810        5294S
USC00012096        5862R
USC00012172        6138R
USC00012245        5452S
USC00012377        5591Q
