FIPS,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,Teen Birth Rate,% Uninsured,% With Annual Mammogram,% Vaccinated,% Children in Poverty,80th Percentile Income,20th Percentile Income,% Children in Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
39000,17.769663466,4.075839218,4.7754949728,8.5572501613,21.412364297,33.5,6.8,26.1,18.48308832,1817,22.275201895,7.7255852597,43,51,18.1,110927,23712,27.110540273,292.59493145,9,13.670411783,82.925355307,31.1
39001,25.160690273,5.6136081393,5.8149418684,8.9602704987,30.316207914,35.7,6.7,37.8,15.510323699,11,40,9.8378185707,33,42,29.5,86922,16767,32.386788223,85.849191587,8.7,15.697137581,79.592234904,48.4
39003,19.484123107,4.5204871439,5.0413976611,9.3633382336,24.49846349,35.9,7.6,26.8,16.943528508,18,28.597114603,7.4117928628,44,49,19.6,94927,22091,31.078817321,395.33187454,8,13.566468254,85.929287599,19.5
39005,18.52332096,4.3723497783,4.9636791794,6.1120148733,23.637120284,35.4,8.1,31.1,17.731749868,15,18.387050973,8.6723537186,44,48,19.1,95705,25646,20.477730779,102.68697587,8.9,12.435991222,83.854958777,30.7
39007,22.794676974,4.8917326253,5.4078835513,8.1419624217,27.536168394,37.2,6.7,30.7,17.903600553,31,29.819899616,9.514020662,40,49,26.5,89708,19022,22.75916182,134.91501999,9.1,14.590932777,84.543355241,33.5
39009,21.048022115,4.8322305442,5.2292414023,8.8283828383,24.208751596,35.1,6,22.9,17.844379348,6,7.7194530216,9.0472696782,39,49,25.3,89926,14073,22.956503467,111.63589523,6.5,20.835184363,71.237711117,22.2
39011,15.95321266,3.7500344005,4.5188746995,7.1465561885,22.925397643,35.2,8.7,30,19.607298462,2,22.811405703,5.9958037444,42,48,9.2,110690,29794,19.627520116,58.254689503,9.5,10.332606325,87.508614748,20.3
39013,18.992467914,4.4704901675,5.1365139152,8.226888937,23.860481464,35.3,7.7,31.1,19.072347806,16,28.377230246,7.3453069992,43,41,15.7,97998,21945,22.077007356,136.89600973,8.3,8.2497212932,89.704183441,30.6
39015,20.241748321,4.6475668836,5.1154437274,7.6320371445,24.703414228,31.7,7.6,31.1,18.167593306,5,30.802965438,7.9090291921,36,48,18,97641,21775,21.609746355,67.316620241,9.1,13.239111624,81.240318083,58.3
39017,16.845349356,4.3075086374,4.8116987,7.8879269033,21.411857049,32.3,7.8,23.4,19.041261799,38,17.530664198,6.7743067743,42,54,14.1,126287,27833,22.775514759,270.0091345,11.6,13.250009163,84.471684834,37.3
39019,19.519661275,4.5219300829,5.1929048915,8.167539267,25.260344202,41.2,8,32.8,16.943018534,4,23.290633838,8.8292199519,36,49,18.2,97430,26468,17.899719495,nan,9.5,11.085661933,82.156959526,42.7
39021,18.423880493,4.3946685131,5.0649255883,6.7827348567,23.665399419,35.8,8.3,34.7,18.742382488,11,26.041069175,7.0905587669,36,46,11.1,101596,29650,23.628643562,103.73178291,9.1,10.016366612,84.000225111,38.7
39023,20.858764537,4.8192730711,5.2011455633,8.9921217061,26.226279548,37,6.9,29.9,17.036286407,22,34.004186121,8.5193392234,39,48,21,95058,22601,28.454239968,368.24504066,8.4,13.248837421,82.06571519,27.7
39025,16.592026912,4.1154176171,4.7293398737,7.3173779916,22.355466012,38.2,7.8,28.7,19.122510665,27,20.792285761,7.004537872,43,53,11.7,127138,29829,19.863834079,110.97019658,9.7,10.893689671,84.344947186,47.9
39027,18.834224469,4.5968530609,4.9430439266,7.5504322767,23.857442751,35.8,7.2,28.3,17.761958534,7,29.388714734,7.3823320719,42,47,22.2,100574,23403,26.287816844,81.625477195,9.1,12.630288167,83.416165315,39.2
39029,20.508489191,4.5308833802,5.3197183453,7.360959651,27.293155585,35.7,7.3,30.2,17.402052602,14,28.96750472,9.0162468707,41,51,18.1,91603,22259,24.254331976,57.532002176,10,11.916786917,85.601158423,36
39031,21.831349658,4.815601881,5.5303936917,7.2688564477,27.361947974,38.4,7.2,32.3,17.167908503,16,29.29092114,9.9375257449,43,45,18.8,85512,21018,18.781195589,106.51954224,8.8,11.381830839,78.112603967,32.2
39033,19.914475959,4.6612364687,5.212024904,8.3761717569,25.327349129,33.5,7.1,31.2,18.30092686,7,36.178004661,7.4621796851,39,42,23,83562,20465,28.440166266,142.65335235,8.8,11.326044295,86.060082127,27.4
39035,19.041559845,4.2054103141,4.969249694,10.648389092,20.914181046,31.8,7.3,24.8,19.618224126,166,24.036095468,7.4301207541,45,51,23.6,106537,19146,37.569103224,645.9945915,10.7,17.065957368,79.255996741,32.3
39037,18.402174692,4.3017484492,5.0032825451,5.7116536158,24.340502318,36.9,8.3,31.1,18.715195303,16,24.707412224,8.6159643714,41,45,17.1,97629,26232,17.411477411,114.27405367,9.5,10.934871425,83.592225114,31.1
39039,17.989082251,4.21000137,4.7156784273,6.7136623028,22.999269373,38.7,8.3,32.6,19.459046149,10,22.898192839,6.8267682907,48,50,13.6,102033,28654,25.622937763,124.39171086,9.3,8.8177661659,85.785320506,24.1
39041,11.753419284,3.1304551625,4.1269427736,6.186877132,15.313359912,29.6,9.1,17.9,19.366585821,24,5.6518075508,4.5956951716,51,58,5,191574,47733,11.201389667,99.904983334,9,9.1580502216,84.454574802,42.8
39043,18.387900306,4.2646196192,4.9058566554,7.8804347826,22.383403767,34,7.3,29.2,17.773354891,13,23.501762632,6.3870732849,43,50,19.2,106049,25986,30.335754958,120.84503098,9,11.52810768,85.429079716,21.1
39045,16.239163452,3.8729833275,4.5082130644,7.9623505469,21.359556911,37.2,8.1,25.9,17.196497903,26,17.20170614,6.3963984906,43,51,11.5,126347,29532,17.99730821,166.04164523,9,12.304230423,84.179976947,48.9
39047,21.742551756,4.8937887773,5.4678977236,8.2693947144,27.463776534,36,7.7,34.8,16.992006023,8,38.641686183,7.6411673286,38,43,21,95697,21188,30.022172949,216.17475288,8.8,13.768115942,87.092882992,36.2
39049,16.358566247,3.7295921085,4.5608218346,9.1623814421,19.003522515,30.2,7.5,22.4,17.694890429,155,22.772858821,8.8912016552,46,53,18.6,118800,26283,31.80502251,422.59414054,8.7,15.927750411,80.913960697,26
39051,18.565876219,4.4129543833,4.9217041969,6.8895935428,21.769044254,32.4,8.2,26.5,19.429929934,13,19.326683292,7.1729957806,51,54,9.8,107977,30693,18.529587567,104.50399308,9.3,10.758914965,87.747318236,33.2
39053,22.627593624,5.1529450076,5.3616478528,9.4599770203,26.815175071,40.9,6.8,32.5,16.700227437,8,29.628492478,9.4878110932,33,46,24.9,92508,19099,22.488038278,136.19000166,8.9,15.277777778,87.753917586,39.2
39055,14.701995575,3.6867513005,4.313384896,6.5200436749,18.780500084,25.7,8.8,17.1,18.51000879,14,6.2057891768,9.0063188205,45,53,6.2,155058,38123,9.2474900986,36.147524426,9.7,12.400341686,79.392624729,45.1
39057,16.263318706,3.7958528609,4.5891180108,7.4017764263,18.643176485,31,7.7,22.1,18.186891278,24,12.786250749,6.3844436878,39,47,12.9,132580,29008,22.726608828,123.5989775,7.9,12.666151468,83.568567493,24.2
39059,21.593758419,4.9716317167,5.6281805125,8.4520417854,26.998353833,35.5,7.1,31.5,16.483157739,10,31.234628628,9.1711781387,41,45,22.2,85983,19433,26.372865713,nan,8.7,13.818860878,85.676924948,27.2
39061,17.807922887,4.0149398998,4.572959583,9.478054567,19.952568933,30.7,7.3,23.4,20.307015071,105,23.930716982,7.0142381043,49,56,20.8,119712,21860,35.347682119,468.47743198,10.2,16.525505151,79.640403626,30.6
39063,16.030473498,3.8260382474,4.7098132865,7.9456759288,20.257771678,35.7,8.1,26.7,18.777063709,9,18.790759368,6.7717454758,40,56,11.2,110818,27901,18.657995862,152.80654691,9,9.984399376,84.865079365,17
39065,20.288866725,4.6606317368,5.0345964792,7.5037707391,25.267894477,37.5,7.7,36.5,17.465508443,7,24.465482395,8.0184069067,36,47,18.2,95235,22986,20.846546257,96.622948742,9,12.292213473,77.80167778,36.5
39067,21.45330559,4.7714505281,5.1504209206,5.4986020503,26.943577608,37.7,7.7,27.7,16.753493082,8,31.621897314,8.1328363267,34,41,21.7,88045,20709,19.142946512,146.48271163,9.1,10.904684976,85.012448133,48.7
39069,17.494654243,4.1899028857,4.706965093,6.6326530612,22.172887572,34.2,8.2,26.8,19.322449306,12,16.508254127,6.3687560093,50,59,10.4,102376,31165,24.152542373,107.00005632,9.3,8.0666967102,86.721299036,28.9
39071,22.217366154,4.8982028266,5.2049464479,7.5599582899,27.423228401,35.4,7.3,30.2,17.215399738,10,34.697048162,10.00634408,32,43,22.7,89359,19621,19.208381839,92.253077049,8.9,15.89958159,82.063353676,43.9
39073,19.454559493,4.6360791476,5.2811167228,6.9864927806,26.483476734,40.2,7.4,35,18.078388701,5,29.562982005,8.0218137039,40,48,21.3,96509,22176,26.004464286,110.23594047,8.4,11.180124224,83.611019466,44.4
39075,23.942763853,5.0619523479,5.647136103,4.2618234131,29.086487333,26.8,8.7,23.2,17.281122735,1,10.6018334,24.099930455,36,44,13,110796,29975,5.7581849512,20.566492613,9.2,13.897763578,52.294315726,20.9
39077,20.024968929,4.5302599341,5.2942746296,6.7094515753,26.081950123,40.9,7.8,26.4,18.483482452,13,25.308961741,8.4950697325,43,51,15.3,97101,24681,22.45084913,nan,8.9,11.846994536,84.257411104,30
